aspect term	category	polarity	text
;closeup mode;rechargable battery	 camera battery	 positive positive	the same 4mp chip from the 4500 camera , plus a 3x zoom with the ability to expand upon that with extenders , great closeup mode , long lasting rechargable battery , etc etc .
;finish	 camera	 positive	its silver magnesium finish is stunning , and the sharp lines and excellent grip are better than any other camera i ' ve seen .
;lag	 camera	 negative	it seems to me that after the focus and metering are complete there is quite a lag before the shutter ?
;picture	 picture	 positive	they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) .
;camera	 camera	 positive	this camera has none of these flaws and will be something you ' ll use all the time .
;view - finder	 camera	 negative	you can see the lens barrel in the view - finder .
;price	 price	 positive	10 great price for all the features .
;camera	 	 positive	i have only had this camera for one full day and i have to say that it is wonderful .
;hot shoe flash	 camera	 positive	the hot shoe flash attachment allowed me to buy and use a sophisticated flash unit :
;service	 customer support	 positive	the service from the supplier was exceptional .
;camera	 camera	 positive	if you strictly use the lcd and not the view finder , i highly recommend the camera .
;camera;price	 camera price	 positive positive	it is a fantastic camera and well worth the price .
;camera	 camera	 positive	definetely a great camera .
;camera;price	 camera price	 positive positive	great camera , and for the price you can ' t beat it .
;camera	 camera	 positive	this is my first digital camera , and what a ' toy ' it is !
;4mp;optical zoom	 camera camera	 positive positive	4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera , 3x optical and the fact that it carries nikon ' s quality reputation behind it make the whole package prove itself worthwile at the price .
;pictures;use	 picture usability	 positive positive	"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it !"
;camera;picture	  	 positive positive	i highly recommend this camera to anyone looking for a good digital camera that takes great pictures yet does n ' t take weeks to figure out how to operate .
;images	 picture	 positive	i chose the g3 because of its reputation for very high quality , clean images .
;lens cap	 camera	 negative	1 ) the included lens cap is very loose on the camera .
;camera	 camera	 positive	i ' ve now had the camera for two months and i ' m even more pleased with it .
;canon g3	 camera	 positive	i bought my canon g3 about a month ago and i have to say i am very satisfied .
;highlights	 camera	 negative	i ' ve been bothered by blown - out highlights on the s330 , and the g3 seems to do only slightly better .
;batteries	 battery	 positive	although canon ' s batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon .
;camera	 camera	 positive	this camera is perfect for an enthusiastic amateur photographer .
;software	 camera	 negative	the adobe camera raw plug - in shows once again that hardware is miles ahead of software .
;camera	 camera	 positive	this is a great camera for you !
;control	 usability	 positive	controls easy yo use and easy to get to .
;menu	 usability	 positive	very intuitive menus are a big plus on this camera .
;use	 usability	 positive	i am impressed with how easy this camera is to use .
;null	 price	 negative	it was ( i sold it after a few months ) too expensive for the shots that i got .
;use;quality;size	 usability picture size	 positive positive positive	the nikon coolpix 4300 is wonderful -- easy to use , high quality , and compact in size .
;pictures;learning curve	 picture usability	 positive positive	the pictures are fabulous and their is a ( short ) learning curve to it ; there are tons of features i have n ' t even gotten to .
;price	 price	 positive	recent price drops have made the g3 the best bargain in digital cameras currently available .
;shape	 weight	 positive	4 . the shape of this device is a little squarer , without losing the weight which means better balance and less shaking while clicking .
;camera	 camera	 positive	because this camera is beautiful .
;servicing	 customer support	 negative	i send my camera to nikon for servicing , took them a whole 6 weeks to diagnose the problem .
;raw format	 camera	 positive	1 . the ability to selectively switch to raw format during record review gives you incredible more post - processing flexibility .
;use;control	 usability usability	 positive positive	it makes up for this by being extremely easy to use with well laid out controls that can be learned quickly .
;battery	 battery	 positive	i needed three batteries to keep myself going with the s330 , but the battery in the g3 is a real powerhouse :
;control	 camera	 positive	advanced photobugs will find more creative control than imaginable .
;movie mode	 camera	 positive	the movie mode is also working great .
;camera	 camera	 positive	all and all , i am extremely pleased with this camera .
;picture quality	 picture	 positive	7 picture quality is excellent .
;null;controls	 size camera	 positive positive	3 it is very compact but the controls are so well designed that they ' re still easy to use .
;camera	 camera	 positive	i ' ve only had it a week , but so far , everything about this camera is making me happy .
;macro	 camera	 positive	they take excellent macro shots as well .
;optical zoom;price range	 camera price	 positive positive	9 3x built - in optical zoom is a lot for this price range .
;external flash hot shoe	 picture	 positive	fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct - 4 .
;learning	 usability	 positive	learning how to use it will not take very long .
;battery	 camera	 positive	the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging .
;camera	 camera	 positive	great camera , great investment !
;nikon 4300	 camera	 positive	nikon 4300 is a very durable , compact package , and i find nikon to be a brand that i can trust .
;pictures;control;battery;software	 picture usability battery usability	 positive positive positive positive	it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user - friendly and it is beautiful in it chrome casing .
;software	 camera	 positive	the software you get with this camera is perfect .
;camera	 	 positive	this is my first digital camera , and i am very pleased with it .
;manual mode	 camera	 positive	the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options .
;use;accessory	 usability camera	 positive positive	its easy to use and the sheer fun of being able to use an array of nikon accessories like the telephoto and wide - angle lenses is the proverbial icing on the cake .
;8mb	 memory	 negative	8mb for a camera like this is a joke .
;auto focus;scene mode	 camera camera	 positive positive	the auto - focus performs well , but i love having the 12 optional scene modes - they are dummy - proof , and correspond to many situations in which i would actually seek to use the camera .
;use;features;camera	 usability camera camera	 positive positive positive	it ' s easy for beginners to use , but has features that more serious photographers will love , so it ' s an excellent camera to grow into .
;use	 usability	 positive	i did n ' t think i would find this quality and ease of use for under $ 1500 - i ' m thrilled with my purchase !
;system error	 camera	 negative	"got a "" system error "" problem 30 days after purchase ."
;pictures;delay	 picture camera	 positive positive	otherwise , it takes very good pictures ; shutter delay is n ' t so bad either .
;software;use	 camera usability	 positive positive	the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .
;null	 camera	 positive	overall i ' m happy with my toy .
;auto mode	 camera	 positive	in the hands of someone who does n ' t , it will yield good results on idiot program / auto mode .
;lcd	 camera	 negative	the only things i have found that i havent liked is that the lcd is hard to read in daylight but everyone elses is too .
;value	 camera	 positive	i compared this to a lot of other cameras , believe me , it ' s value for money .
;photos	 picture	 positive	having used it for more than a month , i can say that it consistently produces topnotch photos .
;images	 picture	 positive	but at least youre starting with the most photorealistic images ive ever seen from a camera .
;shots	 picture	 positive	in terms of the shots taken , this camera is insanely great !
;picture quality	 picture	 positive	i ' m easily enlarging pictures to 8 1 / 2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) .
;rechargable battery	 battery	 negative	it comes with a rechargable battery that does not seem to last all that long , especially if you use the flash a lot .
;indoor shot	 picture	 negative	on average , indoor shots with a flash are not quite as good as 35mm .
;picture quality;movies	 picture camera	 positive positive	the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to .
;features	 camera	 positive	1 it has all the features an amatuer photo - enthusiast would want .
;camera	 camera	 positive	really happy with this little camera .
;photos	 picture	 positive	by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced .
;autofocus	 camera	 negative	one downside though is that autofocus does not work well when battery is low .
;metering option	 camera	 positive	excellent range of metering options as well .
;camera	 camera	 positive	this camera is ideal for people who want more power , but do n ' t want to spend 1000s dollars on a camera .
;null	 size	 positive	it is n ' t big and offensive , though you would n ' t know it by looking at the pics it takes .
;camera	 camera	 positive	i am extremely satisfied with this camera .
;pics;use	 picture usability	 positive positive	it takes excellent pics and is very easy to use , if you read the manual .
;g3	 camera	 positive	i ' ve been using the g3 for about six weeks and it has proven itself to be all that it ' s advertised .
;unresponsiveness	 camera	 negative	the catch with the canon g3 camera , ( and perhaps all of digital cameras ) is that its unresponsiveness will cause you to miss precious shots .
;camera	 camera	 positive	the camera ' s a work of art / science -- that ' s understood .
;software	 usability	 positive	the 4300 comes with excellent easy to install software i use it on xp and win98 without problem , battery charger , usb and video cable .
;use	 usability	 positive	those used to 35mm cameras will find the g3 very comfortable and friendly to use .
;null	 size	 positive	it is small , unlike my canon slr , so it easily fits in my pocket .
;viewfinder	 camera	 negative	* lens visible in optical viewfinder .
;made	 camera	 negative	it is made of plastic .
;battery life	 battery	 positive	the battery life is ok , but can be somewhat short when working a lot with the monitor on .
;battery life	 battery	 positive	battery life is good , although i recommend two rechargebles , or a alkaline backup , for those emergency pics you have to have .
;picture quality;travel size	 picture size	 positive positive	after a lengthy and extensive journey for a feature - loaded , high performance , travel size camera , i initially gravitated to this little gem because of the superior picture quality 4 mega pixel .
;indoor shot	 picture	 negative	the only drawbacks i ' ve encountered are : 1 indoor shots from a distance > 8ft lack contrast and color , but i ' ve found this to be a problem with all cameras with built - in flashes that i ' ve used even on a nikon slr .
;stitch pictures	 picture	 positive	this camera has a cool stitch pictures feature , to find out more just log on to canon ' s website .
;image quality	 picture	 positive	the image quality is excellent .
;optical zoom	 camera	 positive	has 4x optical zoom which is higher than any other in the same price range .
;speed;picture quality;functional conveniences	 camera picture usability	 positive positive positive	i wo n ' t go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers .
;lens cap	 camera	 negative	. lens cap is a really annoying
;battery life	 battery	 positive	another point of note : the battery life is incredible !
;photos	 camera	 positive	i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers .
;body	 camera	 negative	and the body / construction in general has quite a bit of plastic , a disappointment after the stainless steel heft of the s330 .
;canera	 camera	 positive	this camera has canon ' s great colorimetry , plus what you see in the lcd is what you get .
;camera	 camera	 positive	it surpasses my greatest expectations in a 4mp camera ..
;macro mode;pictures	 camera picture	 positive positive	the macro mode is exceptional , the pictures are very clear and you can take the pictures with the lens unbelievably close the subject .
;software	 camera	 negative	3 the picture editing software it came with is adequate , but not very robust .
