aspect term	category	polarity	text
;lcd	 general	 positive	the moveable lcd screen is great .
;txt file	 general	 positive	"i particularly like the "" txt "" file which records all the control information for all the pictures you take ."
;pictures	 picture	 positive	i selected the 4300 right away and have gotten high quality pictures every time .
;flash	 picture	 negative	relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots .
;powershot g3;price	 general price	 positive positive	i recommend unreservedly the powershot g3 to any potential buyer looking for a first - class digital camera at a reasonable price - there is no better camera out there - period !
;viewfinder	 general	 negative	* lens visible in optical viewfinder .
;automatic settings	 general	 positive	with the automatic settings , i really have n ' t taken a bad picture yet .
;shots	 picture	 negative	maybe it is my lack of experience , but i found shots with this camera very disappointing .
;battery life	 battery	 positive	the battery life is ok , but can be somewhat short when working a lot with the monitor on .
;4mp camera	 general	 positive	the canon g3 is perhaps the best 4mp camera out there .
;camera	 general	 positive	i got this camera about a month ago and i can ' t put it down .
;null	 general	 positive	the more i work with it , the more i love it !
;import	 usability	 positive	it is very simple to import via iphoto 2 and then move them to photoshop .
;white offsets	 picture	 positive	8 . perhaps inspired by the canon ' s factory white - correction settings ( which were found lacking and had to be altered by a user before the white edges from buildings etc could be cleaned out ) , the g3 has much sharper white offsets .
;picture quality;travel size	 picture size	 positive positive	after a lengthy and extensive journey for a feature - loaded , high performance , travel size camera , i initially gravitated to this little gem because of the superior picture quality 4 mega pixel .
;manual mode	 usability	 positive	the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options .
;use	 	 positive	it is easy enough to use for a beginner like me but it has plenty of features for me to grow into .
;viewfinder	 general	 negative	about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder .
;pictures;use	 picture usability	 positive positive	"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it !"
;darn diopter adjustment dial	 general	 negative	the reason i rated it a four is because of that darn diopter adjustment dial . its very small and hard to turn so you can ' t get an accurate adjustment ( for those of you who do n ' t know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . )
;null	 general	 positive	i ' ve had this for 3 months now , and i am pleased with my decision .
;powershot g3	 general	 positive	the powershot g3 is a great camera .
;body	 general	 negative	and the body / construction in general has quite a bit of plastic , a disappointment after the stainless steel heft of the s330 .
;light auto correction	 general	 positive	the light auto - correction is awesome .
;null;controls;use	 size general usability	 positive positive positive	3 it is very compact but the controls are so well designed that they ' re still easy to use .
;lens cover	 general	 negative	b ) the lens cover is surely loose , i already accidently finger - printed the len a few times , and au lens tigt and cause potential damage .
;colors;pictures;white balance	 picture picture picture	 positive positive positive	great colors , pictures and white balance .
;pictures;shutter delay	 picture general	 positive positive	otherwise , it takes very good pictures ; shutter delay is n ' t so bad either .
;lense cap	 picture	 positive	it does have a lense cap , but it wo n ' t let you take pics with it on which is real good .
;distortion	 picture	 negative	yes there is a corner lens barrel distortion ( i do n ' t like it too but no harm done since i always use the camea lcd screen to see exactly what i ' m going to get ) in the viewfinder when you do n ' t zoom ( when you zoom the lens distortion goes away ) , canon knows this and engineered it that way to minimize the parallax phenomenon ; that is what lmost exactly ot the picture .
;menus	 usability	 positive	very intuitive menus are a big plus on this camera .
;picture quality	 picture	 positive	i ' ve been pleased with the picture quality and durability in snow , car , boat and wind .
;firewire	 general	 negative	1 no direct firewire to the camera .
;4mp resolution	 picture	 positive	i ' m glad canon decided to keep the 4mp resolution and improved upon it with new technology ;
;print	 picture	 positive	"even at the "" normal "" setting , a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a "" digital "" ."
;camera;null	 general price	 positive positive	this camera is worth every penny , and i highly recommend it !
;picture qualities	 picture	 positive	with nikon , although picture qualities are as good as any other 4 mp cameras , i ' ve had the following headaches ;
;camera	 general	 positive	the camera ' s a work of art / science -- that ' s understood .
;picture quality	 picture	 positive	a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) )
