aspect term	category	polarity	text
;alex	 service	 neutral	I finally got the attention of a young gentleman (Alex) to see the obvious which is just to find me a comparable room with their other properties.
;pool	 hotel	 positive	The pool was the highlight!
;bed;jacuzzi	 rooms rooms	 positive positive	the bed is enormus and the jacuzzi you can both lie out in at the same time.i cant say how great a time we had just go and enjoy every moment.
;reservation	 rooms	 negative	I guess I had expected more since we had booked this reservation months in advance.
;staff	 service	 positive	Staff were friendly and helpful.
;null	 hotel	 negative	00 instead of giving me $140.
;null;spot	 hotel location	 positive positive	Ideal Spot! Great Experience!
;hotel	 hotel	 positive	Quiet, modern hotel
;null	 hotel	 positive	The Ritz made it worthwhile
;taxes	 value	 neutral	We were charged city taxes of 5.66 euros per night per room.
;main bar	 hotel	 positive	The main bar was enjoyable and the bartenders gave good service while a lady sang spanish songs, enjoyed that very much and tasted a bit of the national culture talking to locals and watching them dance but this was the only nightlife the hotel offered since they have no live bands or dance club.
;room	 rooms	 positive	Our room did not face the street.
;beef;chicken;seafood;veggies;fried rice	 food food food food food	 positive positive positive positive positive	They cook up beef, chicken, seafood, cut up veggies and fried rice.
;ohana	 hotel	 negative	This surprised me since Ohana has some completely non smoking properties.
;hotel;rooms	 building rooms	 positive positive	the hotel and the rooms were imaculate. ohh and what a room.
;null	 hotel	 positive	I'll definitely be back.
;management	 service	 negative	"""Not professional management"""
;null	 food	 neutral	Make your reservations as soon as you get there.
;null	 location	 positive	Very easy to walk to restaurants, even to walk to North Beach.
;hotel	 hotel	 positive	Fantastic hotel - will be going back asap!
;chairs	 hotel	 neutral	Due to the comfy chairs I usually fell asleep.
;causeway bay;jardines's bazaar;times square	 location location location	 positive positive positive	We loved its location in Causeway Bay-a stone's throw from the Causeway Bay MTR, great food outlets at Jardine's Bazaar, good shopping at Times Square.
;reservation	 service	 negative	When I asked the concierge to help get a reservation to a new restaurant in the city she wasn't aware of it.
;hall;fire alarm	 hotel hotel	 negative negative	Very loud party group down the hall and fire alarm went off in the middle of the night.
;front desk staff;bellmen;housekeepers	 checkin checkin service	 positive positive positive	From the front desk staff to the bellmen to the housekeepers --- we felt like we were among Ohana (Hawaiian for family).
;breakfast buffet	 food	 positive	The hotel's breakfast buffet is bountiful and delicious, and the prices reasonable.
;video diary!;null	 hotel rooms	 positive neutral	Ok the rooms aren't decorated to the best of taste, but it added some amusement to our video diary! I would stay here again!
;valet	 value	 negative	You have to leave your car with the valet and the price to have it valet'd is $27 per day plus tax and tips!!!!
;value	 value	 positive	I stayed at Hotel Max for 9 days during a conference in early June, and it was an extremely good value.
;stay	 hotel	 positive	We thoroughly enjoyed our stay.
;bathroom	 rooms	 negative	The rooms were very well furnished but the bathroom in one of them was poor for a 4star hotel.
; restaurant	 food	 negative	The restaurant was pretty terrible - the worst nasi goreng I had in 2 weeks by far.
;hotel	 hotel	 positive	Overall, I would highly recommend this hotel.
;notels	 hotel	 positive	It's really one of the nicest hotels anywhere and the best airport hotel.
;clean;rooms	 cleanliness rooms	 positive positive	Rooms: Very nice, clean, clean, clean.
;renovations	 hotel	 negative	BUT, this hotel made NO mention of any renovations on their website.
;staff	 service	 positive	Also the staff are very friendly and it is based near a variety of restaurants/bars and clubs.
;laurel	 hotel	 positive	We would recommend the Laurel enthusiastically to our friends, unless they need to be downtown.
;stay	 hotel	 positive	I would definitely stay there again.
;pizza hut;walgreens;restaurants	 location location location	 neutral neutral neutral	There's a Pizza Hut and Walgreens right across the street with many many restaurants up and down the main street in walking distance.
;bathroom;amenities	 rooms rooms	 positive positive	The bathroom was a nice size and had great amenities.
;customer care;room service	 service service	 positive positive	Excellent customer care and the quality and response time for room service is commendable.
;null	 location	 positive	Most lines were 1-3 blocks away.
;null	 cleanliness	 positive	The guy I roomed with works in pest control and was a stickler about vermin bed bugs etc before we went and he had no complaints unlike some of our other guys who stayed elsewhere in the city so read into that what you will
;chromed elevator;murphy bed;tear drop trash cans;light tower	 building rooms rooms rooms	 positive positive positive positive	From the chromed elevator to the mysterious Murphy bed, the tear drop trash cans and the dimmable light tower, she was intrigued.
;hotel;staff	 hotel service	 positive positive	Nice little hotel, friendly staff
;laurel inn;pets;parking	 hotel hotel hotel	 positive positive positive	We chose the Laurel Inn because it takes pets and provides parking, but found that it has a lot more going for it.
;room;hallway;lobby	 cleanliness cleanliness cleanliness	 negative negative negative	The first room (3rd floor) also smelled funny, as did the 3rd floor hallway and the lobby.
;null	 location	 positive	Nice Base for Exploring
;null	 hotel	 positive	"Dare I say ""Perfect""?"
;floor manager	 service	 negative	After 2 hours of dealing with the floor manager (Matthew Sims) ..(If you ever have to deal with this man, go above him.
;check in	 checkin	 negative	When we arrived Sat 10th March and went to check in, the receptionist explained that she did not have a room for us that night but only on Sunday, and we could stay in a 4 star nearby and then come back the following night.
;null	 hotel	 neutral	This way they will be held until you return.
;check-in	 service	 negative	Our room, on the Ocean, was, as was mentioned by others, not available until 4PM, which is the guaranteed check-in time.
;null	 hotel	 neutral	We took many of the reviewers' advice and signed up for the Wyndham By Request.
;coffee or tea-meaking area	 building	 negative	I liked that wine and soft drinks were available with honesty payments and a fridge to store your own purchases but felt it was a lack that there was no coffee or tea-making facilities either in room or in area where could have lunch.
;room	 rooms	 negative	Now, the only negative about this room...the shower.
;location;value	 location value	 positive positive	A great value in a prime location
;front desk	 checkin	 negative	The Bad: Front desk disorganized (where do the lines begin??)
;beach bar	 service	 positive	Say hi to the boys at the beach bar!!
;overpriced;service staff	 value service	 neutral neutral	The restaurant on the ground level facing the beach is a bit overpriced, especially for dinner ; the service staff can be a bit surly .
;engineering	 service	 positive	On return to our room one evening there was a note from Engineering with a box of Godiva chocolates, telling us that they had carried out repairs and apologizing for the inconvenience.
;rooms;walls	 rooms rooms	 negative negative	What I had a problem with was the rooms had thin walls.
;location	 location	 positive	but it has a very nice location.
;breakfast;null	 food hotel	 positive positive	The hotel as such was good with a very good breakfast.
;location;service	 location service	 positive positive	Great location and service
;resturant	 food	 neutral	resturant was ok.
;hotel;walk	 hotel location	 positive positive	Hollywood is such a dump The hotel is fine and is a short walk to the Hollywood Highland or the Hollywood Bowl.
;spotless;beds	 cleanliness rooms	 positive positive	Beds comfy, room spotless, good sanitary appliances as opposed to usual British plumbing!
;hotel	 hotel	 neutral	Hallo!We stayed at this hotel only fore a couple of hours, because our airplain was delayed.A fine hotel, BUT they cheated us.
;rooms	 rooms	 negative	The outer rooms are exposed brick and apparently ours was allowing moisture into the room.
;clean;walk;pricecons;rooms	 cleanliness location value rooms	 positive positive positive positive	Days inn or Super 8) and nothing more:Pros: clean, comfortable beds, off Polk with a great bagel shop and other nice shops and restaurants, easy 5 block walk to bus that takes you to Union Square in about 10 minutes, helpful hosts, priceCons: Air freshener in rooms -ewH!
;place	 hotel	 neutral	The place has a lot of potential, so I think that once they actually start renovating the rooms it will be a great place.
;city centre;harbou view room	 location rooms	 positive neutral	Apart from that, it is not too far from the city centre and the neighbourhood of the hotel is quite pleasant too.I've got the harbou view room which was nice, even though the view wasn't as spectecular as that in the city centre.
;wedding	 service	 positive	as for the wedding we met the wedding co-ordinator, Iveilesse, the following day and she covered every aspect of the wedding planning and more!
;level	 hotel	 negative	Obviously, it'll take more than two months to get to the four star level.
;room	 rooms	 negative	The room was fine, but be forewarned, the neighboring Hilton is building a high-rise time share building right next to the Ilikai (Diamond Head side).
;null	 rooms	 negative	It was not really useful for anything due to its size and number of functions that it was supposed to perform.
;owners	 service	 positive	the owners are very nice people and will call cabs for you, make suggestions, and fill other reasonable requests.
;berlin base	 hotel	 positive	Brilliant Berlin base
;room;view	 rooms location	 positive positive	The room was comfortable with a great view of Los Angeles.
;null	 rooms	 negative	This was not what we had in mind for our Waikiki vacation.
;bathroom	 rooms	 positive	Even the bathroom sparkled.
;service	 service	 positive	The service is first class.
;reception	 service	 positive	Reception were able to book tours or transport and help with advice on what restaurants to try and what ones to avoid.
;staff	 service	 positive	Staff were friendly, and service was excellent.
;null	 hotel	 positive	Awesome Experience!
;places to eat	 hotel	 negative	Each night there was no more than three choices of places to eat.
;pool;gym	 building building	 negative negative	Only small gripes would be, no pool and tiny Gym.
;ayre	 hotel	 positive	We loved several things about the Ayre: (1) it is QUIET.
;resort	 hotel	 positive	This was our second time at this resort and we enjoyed iteven more than the first time!
;breakfast	 food	 neutral	Breakfast rooms were inside or outside: cereal; scrambled eggs, bacon, cheese, ham, breads, pastries, yogurt, fruit, jams, bottled water and good coffee.
;tiles	 cleanliness	 negative	Slimey, dirty tiles.
;sheraton moana surfrider;marriot waikiki;hhv	 hotel hotel hotel	 positive positive positive	We had done significant research on hotels in Oahu and I can say after seeing all the other locations we considered such as Sheraton Moana Surfrider, Marriot Waikiki and many others we were thrilled with our decision to stay at HHV.
;null	 hotel	 positive	Loved it all!
;null	 food	 positive	Excellent bartenders.
;shower	 hotel	 negative	The Shower just has a small shelf to put all your stuff on.Personally I will stay elsewhere next time I am over in the dam.
;place;staff;price	 location service value	 positive positive positive	Great Place, Great Price, Great Staff, But...
;elevators	 building	 negative	The elevators where constantly out of service while filled at capacity due to the convention.
;rooms;windows	 cleanliness cleanliness	 positive positive	The rooms are clean with windows that open.
;travel	 location	 negative	* It takes 20-40 minutes (with traffic) to get to and from places* Had 5 taxi drivers (in 5 days) refuse to take us to the hotel* Had 2 taxi drivers get lostThere was simply too much stress and time related in the travel to/from the hotel.
;front desk staff;hotel	 checkin hotel	 positive positive	Overall a very good hotel and efficient front desk staff who had good English speaking skills.
;bed	 rooms	 positive	The bed was extremely comfortable.
