aspect term	polarity	text	category
;computer	 positive	This computer is absolutely AMAZING!!!	 laptop
;battery	 positive	10 plus hours of battery...	 battery
;processor;graphics card	 positive positive	super fast processor and really nice graphics card..	 processor graphics
;storage;memory	 positive positive	and plenty of storage with 250 gb(though I will upgrade this and the ram..)	 harddisk memory
;null;null	 positive positive	This computer is really fast and I'm shocked as to how easy it is to get used to...	 laptop laptop
;null	 positive	I've only had mine a day but I'm already used to it...	 laptop
;portability;processing	 positive positive	GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!	 weight processor
;null;null	 positive positive	the laptop was really good and it goes really fast just the way i thought it would of run.	 laptop laptop
;null	 positive	i would really recommend to any person out there to get this laptop cause its really worth it.	 laptop
;null;null	 positive positive	and its really cheap and you wont regret buying it.	 price laptop
;portability;longevity;use	 positive positive positive	As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;	 weight laptop laptop
;null;null;null	 positive positive positive	without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere.	 laptop weight laptop
;null;null	 positive positive	I highly recommend this computer for students looking for a solid machine to get them through college.	 laptop laptop
;spotlight search	 positive	A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.	 os
;null	 negative	Oh my goodness-I am not a happy camper.	 laptop
;hp	 negative	My HP is very heavy.	 laptop
;carry	 negative	Not easy to carry.	 weight
;battery;battery	 negative negative	The battery has never worked well.	 battery battery
;battery	 negative	The battery gets so HOT it is scary.	 battery
;hp	 negative	Yet, HP won't do anything about the problem.	 service
;hp	 negative	I returned the computer to HP and they kept it for 3 months.	 service
;warranty	 negative	When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.	 service
;null	 negative	So, you can imagine how unhappy I am with this item.	 laptop
;null	 negative	Currently if I use the laptop I can't sit it on my lap because it will burn my legs.	 laptop
;null	 negative	Well, they don't care a bunch.	 service
;company	 negative	But, at the same time they (the company) would not and could not do anything about my problem.	 service
;null	 negative	I would  say if you want to buy one of these machines be careful.	 laptop
;hp	 negative	And, if you are going to deal with HP be careful.	 laptop
;hp	 negative	In my house, HP is a nasty word.	 laptop
;toshiba netbook	 positive	Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptop and a desktop.	 laptop
;null	 positive	The netbook is easier for me to take to bed and carry around with me.	 weight
;screen;screen	 neutral neutral	The screen takes some getting use to, because it is smaller than the laptop.	 display display
;null	 positive	I have not have any problems.	 laptop
;toshiba qosmio	 positive	The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.	 laptop
;pc	 positive	He gave me this PC about 3 years ago and up to this point im still sitting here using it.	 laptop
;null	 positive	Its still going.	 laptop
;null	 positive	It is in the best condition and has a really high quality.	 laptop
;null	 positive	This is something i would deffinately reccomend to someone.	 laptop
;null	 positive	You will not regret buying such a great thing like this!	 laptop
;null	 positive	It can't get any better.	 laptop
;null	 positive	Waited on getting this computer, but it has been a great change.	 laptop
;null	 positive	Ease of use is just one of the benefits I love about my Mac.	 laptop
;null;window 7	 positive positive	This laptop meets every expectation and Windows 7 is great!	 laptop os
;null;null;wireless network	 positive positive positive	It's fast, it's easy easy easy to set up, easy to hook to my wireless network.	 laptop laptop laptop
;wireless networks	 positive	It's even easy to hook up to other wireless networks.	 laptop
