aspect term	category	polarity	text
;place	restaurant	 negative	Judging from previous posts this used to be a good place, but not any longer.
;staff	service	 negative	We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.
;null	service	 negative	They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.
;food;portions	food food	 negative negative	The food was lousy - too sweet or too salty and the portions tiny.
;null	service	 negative	After all that, they complained to me about the small tip.
;place	restaurant	 negative	Avoid this place!
;food	food	 positive	I have eaten at Saul, many times, the food is always consistently, outrageously good.
;saul	restaurant	 positive	Saul is the best restaurant on Smith Street and in Brooklyn.
;foie gras terrine with figs;duck confit	food food	 positive positive	The duck confit is always amazing and the foie gras terrine with figs was out of this world.
;wine list;wine list	beverages price	 positive positive	The wine list is interesting and has many good values.
;null;null	price food	 positive positive	For the price, you cannot eat this well in Manhattan.
;restaurant	restaurant	 negative	I was very disappointed with this restaurant.
;cart attendant	service	 negative	Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.
;null	service	 negative	I had to ask her three times before she finally came back with the dish Ive requested.
;food	food	 neutral	Food was okay, nothing great.
;chow fun;pork shu mai;null	food food misc	 negative negative negative	Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. 
;place	restaurant	 negative	I/we will never go back to this place again.
;fish	restaurant	 positive	Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!
;service;oysters;null	service food price	 positive positive positive	Service was devine, oysters where a sensual as they come, and the price can't be beat!!!
;null	restaurant	 positive	You can't go wrong here.
;restaurant saul	restaurant	 positive	Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
;null;service;decor	food service ambiance	 positive positive positive	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.
;duck breast special	food	 positive	I had the duck breast special on my last visit and it was incredible.
;null	restaurant	 positive	Can't wait wait for my next visit.
;null	restaurant	 negative	And I hate to say this but I doubt I'll ever go back. 
;food;thai fusion stuff;null	food food food	 negative negative negative	The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.
;grilled chicken special with edamame puree	food	 positive	The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.
;edamame pureed;edamame pureed	food food	 positive positive	I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).
;place;decor;vent	ambiance ambiance ambiance	 negative positive negative	The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.
;sake list;null	beverages service	 positive positive	Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!
;spicy tuna roll;rock shrimp tempura	food food	 positive positive	The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!
;service	service	 positive	We went around 9:30 on a Friday and it had died down a bit by then so the service was great!
;pink pony	restaurant	 positive	we love th pink pony.
;spot	restaurant	 positive	THe perfect spot.
;food	food	 positive	Food-awesome.
;service	service	 positive	Service- friendly and attentive.
;ambiance	ambiance	 positive	Ambiance- relaxed and stylish.
;place	restaurant	 positive	Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.
;food	food	 neutral	the food is decent.
;service	service	 negative	however, it's the service that leaves a bad taste in my mouth.
