aspect term	category	polarity	text
;material	 presentation	 positive	Just study the material.
;null	 teacher	 positive	You rock Kelley!
;null	 teacher	 neutral	You will either love him or hate him.
;problems	 exam	 negative	I only solved 1 of 8 problems on it.
;null	 teacher	 positive	He is a really nice guy though
;class	 presentation	 positive	Very fun, relaxed class but we learned at the same time.
;lectures	 teacher	 positive	He's pleasant and definitely not boring; I learned a lot from his lectures.
;null;null	 presentation teacher	 positive positive	Was extremely funny , helpful, and clear in describing the subject.
;cs	 teacher	 positive	One of the greatest teachers for CS !
;teacher	 teacher	 positive	best teacher ever thanks !!
;null	 counseling	 positive	He's always there to help.
;help	 counseling	 positive	He is always willing to help, too.
;teacher	 teacher	 negative	This teacher is terrible.
;null	 teacher	 neutral	And yea, he's kind of soft-spoken.
;null	 teacher	 positive	Very helpfull.
;monotone	 presentation	 negative	Cool guy, but kind of monotone.
;answers;questions	 exam exam	 negative negative	He gives unclear answers when going over questions so you are left wondering what the right answer is.
;null	 teacher	 positive	Oh how I love Dr. Sahami!
;tests	 exam	 negative	I am not failing his class, however,  his tests are as if he purposely wants to bring your grades down.
;lectures;class	 presentation presentation	 negative positive	I did wish we had a slightly clearer way of study besides just listening very carefully during lectures, but for the most part he was great and I enjoyed the class. 
;office hours	 counseling	 positive	This guy is really helpful if you go to his office hours.
;null	 teacher	 positive	Such a nice guy.
;null;lectures;lecture;exams;book	 teacher presentation presentation exam exam	 positive positive negative negative negative	prof. molumby is well organized with fun lectures,but he talks too fast.you need to slow down a bit when you go on with lecture prof. his exams are a bit difficult and need to make sure to read the book because the exams cover book material.c u in clas
;slides;questions;material	 exam exam exam	 negative negative negative	Even after reading and trying to memorize literally hundreds of slides it still feels like he uses questions from the top of his head and not actual material.
;class	 teacher	 positive	I loved Randy's bio 151 class this  year.
;mistakes;high school methods;problems	 presentation presentation presentation	 negative negative negative	constant mistakes makes it hard to follow him, high school methods i dont even remember seem to work better than he technical mumbo jumbo ways of solving should be simple problems.
;stuff	 knowledge	 positive	His age does make it a little harder to understand but he knows his stuff and if you aren't retarded you will do fine.
;null	 teacher	 negative	Just don't take 127 with him.
;pseudohipster	 teacher	 negative	Pompous pseudohipster who blathers on and on about how cool he is.
;null	 teacher	 negative	Please retire...you waste our time.
;teacher	 teacher	 negative	she is the worst teacher that i have had in college she sits on her high house looking down on her student.
;teacher	 teacher	 positive	Terrific teacher!
;null	 teacher	 positive	All in all, I'd recommend him to people who are willing to work to get an A or B.
;class	 presentation	 positive	He is super helpful and gives you everything you need to know plus more, and this made the class seem less scary.
;professor	 teacher	 positive	Randy is a funny professor!
;lecture	 presentation	 negative	Hard to pay attention the whole lecture but it is a must if you don't want to get confused.
;teach	 presentation	 negative	He doesn't teach, refuses to use the mic during lecture so it's hard to hear him even if you're sitting in the front.
;power points;practice exams	 exam exam	 negative negative	Study like crazy off the power points and practice exams if you want an a or b in his class.
;exams	 exam	 negative	he knows people look off his old exams.
;lectures	 presentation	 positive	His lectures are full of tangents, jokes, and even singing.
;questions	 communication	 positive	Ask questions, he is ready to help.
;null;null	 teacher presentation	 positive positive	But he isn't too strict and tries to make learning fun.
;null	 course	 negative	Don't take his classes if your not prepared to work hard.
;material;anecdotes;null	 presentation presentation exam	 positive positive positive	He understands and takes a genuine interest in teaching this material.You should pay attention to his anecdotes in lecture because some exam questions come from them.
;practice exam	 exam	 neutral	When using practice exams do the work for the problems do not depend on multichoice.
;calculator;exam	 grading grading	 positive positive	first time I have taken clac in a year and I still managed to get a B/B+ easily (forgot calculator for one exam set me below an A = my fault).
;null	 teacher	 negative	Talks too quietly.
;course	 course	 positive	A surprisingly challenging course.
;labs	 course	 positive	Nice &  interesting labs.
;professor	 teacher	 positive	Good professor if you like microbio and you have an interest in cancer cells as he likes to talk about them a lot.
;reading;paper	 course course	 positive positive	Before taking Mr. Everett's class, I couldn't stand reading and I couldn't write a decent paper.
;professor	 teacher	 negative	Extremely overrated professor.
;null	 counseling	 positive	She was helpful and not too hard.
;classes	 teacher	 positive	One of the best classes ive ever taken!!!!!!!!
;material	 presentation	 negative	Prof. Cook has good intentions but doesn't know how to teach his material.
;null	 teacher	 positive	Thanks Professor! 
;null	 grading	 positive	He has a grade distribution where around 88% is an A and 76% is a B.
;teacher	 teacher	 positive	Molumby is a really fun teacher!
;effort	 grading	 neutral	Contrary to what other people say, it isn't impossible to get an A - you just need to put effort.
;null	 teacher	 positive	She is fun, crazy, and down to Earth.
;sound system;lecture hall	 class class	 negative negative	The sound system in the lecture hall did not support the size and it was hard to hear.
;lectures;exams	 presentation exam	 positive negative	He lectures off of his power points but his exams [recycled] are TRICKY.
;null;null	 teacher presentation	 positive negative	He is a nice guy, but does not know how to teach at all!
;material	 course	 positive	so much material to learn but very interesting.
;study	 grading	 neutral	If you study you will get an A.
;class	 course	 negative	Don't take this class with a full (12cr+) load.
;teacher	 teacher	 positive	Thurlow is a decent teacher and so funny
;professor	 teacher	 positive	She is not your average Professor!
;null	 teacher	 positive	I wish I was taking him for homeostasis.
;professor	 teacher	 negative	I've never had a class with such a horrible professor.
;null	 teacher	 positive	If you never have to take a biology class take Bio 101 with Molumby anyway.
;null	 teacher	 positive	He is simply great!
;lecturer	 teacher	 positive	absolutely fantastic lecturer.
;professer	 teacher	 negative	This man is a horrible professer.
;teacher	 teacher	 positive	Easy Easy teacher.
;assignments	 exam	 positive	she accepts late assignments.
;class	 presentation	 negative	He is completely unprepared for class.
;null;null	 counseling teacher	 positive positive	Randy is a great guy and is there for you.
;class	 presentation	 positive	Also if you go to the last class, you'll get a full overview of the whole class in about 20 seconds.
;exam;powerpoints;lectures	 exam exam attendance	 neutral neutral neutral	I was not sure what to study for the first exam, but after taking it, it is best to study his powerpoints and pay attention during lectures.
;tests	 exam	 negative	The tests are hard.
;tests	 exam	 neutral	Tests are a little hard.
;class;exams	 course exam	 neutral positive	However, his class is pretty tough, making us apply the knowledge we learned in class on exams.
;null	 teacher	 positive	He rocks no nobody teaches like him he's simply the best
;textbook;online notes	 relevance relevance	 negative positive	I listed his use of a textbook high because he relies almost entirely on his online notes (which are free and very descriptive) so you don't have to buy an expensive book with a bunch of garbage in it.
;null	 teacher	 negative	If you think calculus is hard as is and you feel like torturing yourself, then Professor Cook is for you.
;lectures	 presentation	 negative	During lectures he does not usually stay on track, and it is hard to find the time useful.
;lessons	 presentation	 neutral	His lessons are long and super-detailed, but very interesting if you do your part to focus and participate.
;null	 teacher	 negative	just like everyone else on here... i advise you to stay away.
;null	 teacher	 positive	Dr. Molumby made this class very interesting.
;exams;calculator;class	 exam exam attendance	 positive positive positive	The exams are easy if you know how to make good use of your calculator, attend class, and follow the text somewhat.
;professor	 teacher	 positive	Great Professor !!
;journal entires;group project;midterm;final	 exam exam exam exam	 neutral neutral neutral neutral	The course consists of journal entires, 1 group project, midterm, and a final.
;powerpoints slides;textbook	 relevance relevance	 positive negative	Powerpoints slides are helpful but you do have to read the textbook on your own.
;exams	 exam	 neutral	In order to excel in his course, you MUST study rigorously for his exams.
;notes;powerpoints;subtitles;diagrams	 presentation presentation presentation presentation	 negative negative negative negative	Literally no notes given within the powerpoints besides a few subtitles on diagrams.
;stories	 teacher	 positive	Alan is a super laid back and has some really funny stories to tell.
;null	 presentation	 negative	You have to sit really close to hear him, but even then you still have to listen carefully.
;null	 knowledge	 positive	He knows what hes talking about however.
;biology teacher	 teacher	 positive	Best biology teacher ever.
;null	 teacher	 positive	Great class.
;null	 teacher	 positive	She is da bomb.
;rate my professor	 teacher	 negative	He reads his rate my professor reviews but never listens to them.
;assignments;discussions	 exam communication	 neutral positive	Read the assignments and get involved in the discussions in class, pay attention to the films and videos he shows and an A should be no problem.
;scientific skills	 presentation	 positive	I learned a lot of scientific skills and loved this class.
;paper	 communication	 negative	When someone asks him to go over it on paper, he hesitates and asks us why we couldn't just write down what he said.
;teaching;topic;british literature	 presentation presentation presentation	 negative negative negative	As far as teaching goes he does not stay on topic most of the time and starts talking about things that have nothing to do with British Literature.
;discussion	 communication	 positive	She focused on main events and really engaged the class in discussion.
;class	 presentation	 positive	He did have good stories and class was interesting, when I went.
;null	 presentation	 negative	One second he's talking about bird, go on your phone, look up again, &  he'll be talking about the new Star Wars movie.
;teacher	 teacher	 positive	The coolest teacher I've ever met.
;quizzes;exams;class period	 exam exam presentation	 positive positive positive	She gives plenty of helpful hints for upcoming quizzes and exams and makes every class period the most enjoyable i have ever had in my whole college experience.
;tests	 exam	 negative	Blame the department for the hard tests but practice tests are nothing like the real ones.
;null	 teacher	 negative	If you have to take him to go another professors lectures or teach yourself online.
;null;examples;exams	 presentation exam exam	 negative negative negative	"Cook would be better off as a 1950's stand up comedian than a math prof. he doesnt explain ANYTHING and his ""examples"" in class are nothing like the ones on the exams."
;handbooks;syllabus	 presentation presentation	 positive positive	He lays everything out in the handbooks and the syllabus which helps a lot.
;notes;si sessions	 exam exam	 neutral neutral	Take the best notes you can (struggle) and GO TO ALL THE SI SESSIONS if you want an A.
;lectures;exams	 attendance exam	 positive positive	Attend lectures and review these before exams, that's essentially all you need to study.
;lecture;pictures;slides	 attendance presentation presentation	 neutral neutral neutral	Seriously if you just look at his slides and don't attend lecture all you'll find is a bunch of pictures  that make absolutely no sense.
;lectures	 presentation	 positive	His lectures are rarely boring and he can makes a lecture on signaling the funniest part of my day.
;null;null	 presentation teacher	 negative positive	But he is a good person, just needs to teach more clearly/direct.
;exams	 exam	 negative	He's exams are very tricky.
;null	 grading	 neutral	If you understand everything he does in class you will get an A.
;fair	 grading	 neutral	He does grade harsh, but it is fair.
;null	 teacher	 negative	Everyone else should forget taking her.
;null	 teacher	 negative	She boasts about her doctorate in political science, too.
;exams;material	 exam exam	 positive positive	Past exams almost identical to current exams, great study material.
;null	 teacher	 positive	She takes into account if you care about your grade, once she knows that she will help as much as she can
;prof	 teacher	 positive	nice prof.
;tf	 exam	 neutral	Tons of TF.
;class	 course	 neutral	Basically if you space out too much, dont take his class. 
;null	 presentation	 negative	He never stays on topic, starts randomly talking about zombies or other things.
;biological anthropology	 teacher	 positive	I took Dr. Capelotti for Anth 045 and Anth 021 and ended up changing my major to biological anthropology because of his positive influence.
;grading	 grading	 neutral	Grading was not that hard...however, she does grade papers like an English teacher.
;professor	 teacher	 positive	Great professor and very intelligent.
;null	 presentation	 negative	You will have no idea what he is talking about.
;tangents;lecture material	 presentation relevance	 negative positive	Dr. Molumby goes off on tangents during his lectures, but at the end of them he does prove a point about the lecture material.
;class	 course	 positive	Overall it was a good class though!
;null	 attendance	 neutral	PS-go to class and work hard.
;null	 teacher	 positive	He loves what he does (for real!)
;skills	 relevance	 positive	You leave his class having learned life skills that will actually help you in your career.
;exams	 exam	 neutral	The exams are very detailed.
;subject	 course	 positive	Interesting subject and love the class.
;book;labs	 exam exam	 positive positive	The book is helpful but labs are more important on exams.
;test questions	 exam	 positive	I don't know why everyone says this guy is so tricky on his test questions.
;american history;literature	 relevance relevance	 positive positive	I learned so much about American history and literature.
;course	 course	 positive	The course really is not that hard.
;jokes	 presentation	 positive	Makes corny math jokes to diffuse a bored atmosphere but he teaches well otherwise.
;ap bio	 course	 negative	Took AP Bio but still struggling because AP bio wasn't close to as in depth as he is right off the bat.
;prof;material	 teacher presentation	 positive positive	I've never had a prof who cares so much that the students learn the material and are able to apply it.
;bible;pro-evolution	 presentation presentation	 negative negative	When I came back after being humbled, he started Bible hating and ramming his pro-evolution throats down our throats.
;professor	 teacher	 positive	He is one of the best professor i have ever seen in my life .
;stuff;test;lectures	 knowledge exam presentation	 positive negative negative	knows his stuff.test are hard and lectures boring but he at times makes it interesting.
;grading;material	 grading relevance	 positive positive	Grading is extremely fair, material is very relevant.
;student group discussions;class	 presentation presentation	 positive positive	I've been in classes with lots of student group discussions and though it is enjoyable I can't say I learned anywhere near as much as this class.
;lectures	 presentation	 negative	It is impossible to hear anything he says in lectures no matter where you sit, making note taking impossible because you only get 1/4 of the stories.
;biology;appreciation;students	 teacher teacher teacher	 positive positive positive	He is passionate about biology and makes it his goal to instill the same appreciation in his students.
;class	 course	 negative	I'm in medical school now, and still think his class was more difficult than necessary.
;homework	 grading	 neutral	Would've had an A if I had done ALL my homework.
;quizzes	 exam	 neutral	quizzes on Friday but sometimes allows group quizzes (depending on how much you push him).
;iclickers;null	 presentation grading	 negative negative	He uses iclickers and does not curve at all.
;null	 grading	 neutral	Very easy B not so much A.
;null;questions	 teacher exam	 positive negative	Randy is a very nice guy, but man is he confusing and loves trick questions.
;null;lecturing	 teacher presentation	 positive negative	I guess people would say she is easy and she is but she is all over the place when it comes to lecturing.
;professor	 teacher	 negative	He is by FAR the WORST professor in UMASS.
;null;exam	 presentation exam	 positive negative	He teaches well but adds things you never expect to the exam.
;book	 relevance	 neutral	You don't really need the book.
;exams;powerpoints;material;attention	 exam presentation presentation presentation	 neutral positive positive positive	His powerpoints are directly related to his exams, and you can only understand the material if you pay attention in class.
;professor	 teacher	 positive	But regardless of how he is as a person, I would rate him as a good professor.
;class;problems	 attendance attendance	 neutral neutral	You should still go to class though, he goes over problems.
;tangets	 presentation	 negative	She often goes off into tangets, however she is as nice as they come.
;class	 course	 negative	Tough class.
;lectures;semester;professors	 presentation presentation presentation	 positive positive positive	I learned more in her lectures than I did an entire semester w other professors.
;humor	 communication	 positive	His humor is a great addition to the course.
;class;exams	 teacher exam	 positive negative	Overall his class is good, his exams are just really difficult. 
;null	 teacher	 positive	She is hilarious and very real.
;professor;null	 teacher grading	 positive positive	She is an extremely nice professor and an easy grader.
;professor	 teacher	 positive	Best professor ever!
;review sessions	 counseling	 positive	Go to TA led review sessions--they will save you!
;lecture slides;test	 exam exam	 negative negative	Memorize his lecture slides, if you don't think it's going to be on the test... memorize it!
;teaching	 presentation	 negative	You actually get about 25 minutes of bad teaching in the 50 minute block.
;lecture	 presentation	 neutral	You need to go to class for Randy though, most of them are built off of the last lecture.
;professor	 teacher	 positive	THE COOLEST PROFESSOR EVER!!
;lecturer	 teacher	 positive	He was a really great lecturer, I missed like one class and I regret doing that because he always had something cool to say.
;teacher	 teacher	 positive	Professor Schurter is probably the best teacher I have had at UMass.
;grader;punctuation	 grading grading	 positive positive	She's an easy grader as well, not obsessed with punctuation.
;null	 teacher	 negative	No accent though :)
;null	 exam	 negative	changed up his new ones.
;notes;tests;presentations	 exam exam exam	 neutral neutral neutral	Understand the notes you take because the tests will not be just spitting back the presentations.
;null	 presentation	 negative	He showed plenty of laziness this semester on separate occasions.
;report	 exam	 negative	Made one student go on a long drive for a report and another he wanted to go to the archives.
;problems;null	 presentation counseling	 negative negative	He never explains things in a general form and just goes over random problems right in the beginning.
;labs;tas	 relevance relevance	 negative negative	Labs and TAs are useless.
;calc;class;null	 course course presentation	 positive positive negative	i took calc in hs, and like math, i found the class to be easy, but only cus i had an understanding in calc, i do not recomend cook and from what i heard about the other math teachers i dont recomend them either, cook is boring, old and doesnt teach, wish i could say something good, but nothing comes to mind
;essays	 exam	 neutral	I warn you though, he loves essays!
;office	 counseling	 positive	Shes my best friend :) Spent most time in her office just talking haha.
;null	 teacher	 positive	Randy is amazing, he's considerate, funny and kind.
;humor;lectures	 presentation presentation	 positive positive	I love how he uses his sense of humor to lighten up the lectures.
;professor	 teacher	 positive	Not your typical professor.
;lecture	 presentation	 positive	But still a guy that keeps the lecture lively.
;tests;short essay	 exam exam	 neutral neutral	His tests aren't too bad if you study, but he does require a short essay to be written WHILE IN CLASS.
;null	 course	 negative	For the rest of us, plan on struggling as u try to learn on your own.
;participation pts	 grading	 neutral	iCliker &  Participation pts (discus)!
;null	 presentation	 positive	Some may call this wanting you to believe what he does... but he is really just trying to get you to think OUTSIDE the box.
;exams	 exam	 positive	Hard exams, but worth it.
;tests	 exam	 negative	His tests can be difficult, but he has excellent taste in music
;class	 course	 negative	Not the easiest class and he does not review for exams.
;material;subject	 presentation course	 positive positive	for 128, cook does a decent job covering the material considering that it's a hard subject.
;feedback	 communication	 positive	Excellent feedback on resumes and papers.
;class	 course	 negative	This class is very difficult.
;email	 counseling	 negative	Doesn't EMail.
;null	 teacher	 positive	Definitely keeps your interest, pretty funny guy.
;questions	 communication	 positive	I'm not afraid to ask him questions!
