aspect term	category	polarity	text
;mic	 teaching	 neutral	A couple things, though... 1)He doesn't really use a mic.
;professor	 teacher	 positive	I Absolutley looovveee this Professor.
;board	 teaching	 negative	He just gets up to the board and writes down random stuff doesn't really go over it very well.
;tests	 exam	 positive	There's 4 tests and that's all he uses to give you a grade.
;professor	 teacher	 positive	He was an awesome professor!
;math;material;understand	 teaching teaching approachable	 negative negative negative	I've never been so confused about math in my life and he does not care to help students understand the material he is teaching.
;professor	 teacher	 positive	Randall is clearly very passionate about biology and he is a great professor.
;job	 teacher	 positive	She does her job and go, no extras!
;test;final	 exam exam	 positive positive	Most points come from lab so don't worry if you mess up a test or two, because there is also an optional final.
;professor	 teacher	 negative	Cook is an awful professor.
;ratings	 approachable	 negative	Do yourself a favor and ignore all the ratings that say that he is of any help.
;professor	 teacher	 positive	Like I said, he is a great professor and an even greater person.
;null;exams;powerpoints	 teacher exam exam	 negative negative negative	Do not take him, his exams are hard and you got to memorize powerpoints, stay away from him!!!
;null;examples;exams	 teaching exam exam	 negative negative negative	"Cook would be better off as a 1950's stand up comedian than a math prof. he doesnt explain ANYTHING and his ""examples"" in class are nothing like the ones on the exams."
;professors	 teacher	 positive	Professor Christopher is by far, one of the best professors on campus.
;null	 teacher	 positive	She is HILARIOUS.
;past exams	 exam	 negative	If you study past exams you'll do fine but DONT depend only on past exams bc he changes small things each year that can trip you up.
;null	 teacher	 positive	cool guy
;tests;lecture	 exam teaching	 neutral positive	his tests are kinda hard, but as long as you listen to his lectures and do the problem sets you should be ok. overall this class was really interesting and made me want to go to lecture because of him HES AWESOME!!
;tests	 exam	 neutral	tests are usually on powerpoints and some deffinistions from the book.
;class	 course	 positive	I'm still confused why people say his class is difficult.
;null	 answering	 neutral	If you can keep up and ask for help, you're golden.
;office hours	 approachable	 positive	I struggled in 101 and went to all of his office hours and he helped me tremendously.
;lectures	 teaching	 positive	His lectures are really amazing , inspired me to study Math.
;class;class;class	 teacher attendance teaching	 negative negative negative	took calc in high school, and never went/ go to class and got an A in 127 and will get one in 128... boring class, puts me to sleep, and doesnt explain things well, so i dont go.
