aspect term	category	polarity	text
;prof;class	 teacher course	 positive negative	Prof. Cook is a very nice man but his class is very difficult.
;teaches	 teaching	 negative	He never teaches the material--instead, he goes on about some obscure, random fact you never have to think about again.
;null	 teacher	 positive	Definitely expects a lot of work but will always go the extra mile to help you out if you put forth the effort.
;null	 teacher	 positive	Take her and you will not regret it, if you make a B you just need to drop out of college.
;exam	 exam	 positive	He even admitted he thought the exam was too hard so he would scale the final grades for our class.
;null	 teacher	 positive	Love her!
;null	 teacher	 negative	basically don't skip and talk a lot and she will like you, but if you are a person who doesn't like talking in class, you're screwed.
;stuff	 knowledge	 positive	He really knows his stuff, no matter what he's talking about.
;explaining concepts	 teaching	 negative	Not to good in explaining concepts.
;teacher	 teacher	 negative	She was a terrible teacher.
;topic	 teaching	 positive	Makes the topic interesting!
;class	 class	 positive	Mr. Everett's class was very difficult for me, but worth it!
;null	 teacher	 positive	Such a nice guy.
;presentations;class discussion	 teaching answering	 negative negative	Her presentations are uninteresting and do not activate class discussion or motivate the students in the course.
;null	 teacher	 positive	He is simply great!
;person;class	 teacher course	 positive negative	He is a very nice person but this class is rediculously hard, especially if you've never taken calc before.
;null	 teaching	 positive	I loved how he went over things a few times until everyone understood.
;tests	 exam	 neutral	Everyone fails that tests, but you should end up with a C if you do the owls.
;class	 teaching	 positive	He is super helpful and gives you everything you need to know plus more, and this made the class seem less scary.
;pop quizzes	 exam	 negative	Her pop quizzes are very tough.
;person	 teacher	 positive	He is the nicest person.
;class	 teacher	 positive	However, his class is pretty tough, making us apply the knowledge we learned in class on exams.
;feedback;participation	 approachable answering	 positive positive	Extremely clear expectations, valuable feedback, excellent participation.
;null	 teacher	 neutral	If you aren't a math person, you may struggle with him.
;null	 teacher	 positive	She takes into account if you care about your grade, once she knows that she will help as much as she can
;class	 teacher	 positive	I recommend taking his class!
;null	 teacher	 positive	She comes through on her part and she expects you to do the same as well.
;classes	 teacher	 positive	His classes were the highlight of my week.
;tests	 exam	 positive	Tests are NOT based on wileys.
;teacher	 teacher	 positive	She is the absolute best teacher.
;null	 teacher	 positive	SHE IS FUNNY AND VERY ENGAGING.
;tools;letter grade	 teaching teaching	 positive positive	Mr. Everett wants you to walk away from his class with the tools for the future and not just the letter grade.
;help	 approachable	 positive	He is always in the lab if you need help.
;class	 teaching	 negative	She treats the class like elementary school kids.
;american history;literature	 relevant relevant	 positive positive	I learned so much about American history and literature.
;process	 approachable	 positive	Although there is much work to be done for this research class she does her best to guide you thru the entire process.
;quizzes	 exam	 neutral	No homework, no textbook but graded quizzes every Friday and iClicker attendance  every day.
; journal entires, 1 group project, midterm, and a final	 exam	 neutral	The course consists of journal entires, 1 group project, midterm, and a final.
;material	 teaching	 negative	As a Brit Lit I student I was not excited about the material until closer to the end of the semester, and English is my major.
;null	 teacher	 positive	Best Prof of all time
;exams	 exam	 negative	exams are extremely hard, and if you skip a class you will forever be behind.
;class	 teacher	 negative	Cook has the unique ability to make you confused about things you understood prior to the class.
;null	 teacher	 negative	Couldnt get myself to focus on what he was talking about
;null	 course	 neutral	BioTAP is very difficult, but also very rewarding.
;assignments	 exam	 neutral	She has unannounced writing assignments over your book, if you want to good on these you need to read, but its still not mandatory.
;papers	 exam	 positive	The papers are easy if you have her proofread them.
;professor	 teacher	 positive	Randy is without a doubt my favorite professor starting off my freshman year.
;email	 approachable	 negative	He never checks his email.
;professor	 teacher	 positive	I am honestly looking forward to more classes with this professor.
;null	 teacher	 negative	What a jerk!
;teacher	 teacher	 positive	HOWEVER, Everett is an exceptional teacher.
;class	 teacher	 positive	He always made jokes and it is a great fun to go to class.
;null	 teacher	 positive	A fair-game player, meaning treats students equal.
;tutor	 teacher	 positive	He is the best tutor!
;null	 teacher	 negative	She favors students with the same political views as her own.
;null;bio class	 teacher course	 positive negative	He's a funny and relatable guy, but as a general bio class, it is too difficult (and I took AP bio and got credit, and tend to think i know a lot about biology).
;null	 teacher	 negative	DON'T TAKE THIS CLASS!!!
;papers	 approachable	 positive	She was very helpful in writing papers and was nice overall.
;null	 teaching	 negative	He spends more time taking to his calk (literally) and reciting Shakespeare than teaching calc.
;null;questions	 teacher answering	 positive positive	Randy is a very nice guy, but man is he confusing and loves trick questions.
;professor	 teacher	 negative	Bad Professor.
;null	 teacher	 positive	One of the best at CTC.
;null	 teacher	 negative	That being said, conservatives should try to avoid her classes because although she claims she doesn't opine, she does.
;paper	 exam	 positive	There is a large paper due but it is done with a group.
;material	 teaching	 negative	He refuses to actually teach the material by using examples and going over things step by step.
;tests;research paper	 exam exam	 neutral neutral	Study, study, study for the tests and do well on the research paper and you'll be fine.
;teaching	 teaching	 positive	I liked him a lot, he really seems to like his students and enjoy teaching.
;lectures	 teaching	 negative	Lectures are the WORST in the entire universe and are useless.
;null	 grading	 negative	Papers are graded harshly.
;class	 teacher	 positive	Wish i could take this class over again.
;class	 teacher	 negative	going to class is useless!
;course	 teacher	 neutral	People who complain about the difficulty of the course just need to put in more work.
;teacher	 teacher	 positive	Respectable teacher.
;class	 teacher	 positive	He's obviously passionate about Biology and makes class real-world applicable.
;class	 teacher	 negative	I like math have a B but this class is so bad do not take it with him.
;null	 teacher	 positive	very funny and laid back lady.
;essays	 exam	 neutral	I warn you though, he loves essays!
;teaching methods	 teaching	 negative	Old School teaching methods.
;test	 exam	 positive	she basically tells you exactly whats on the test.
;feedback	 approachable	 positive	Leaves plenty of feedback and you can tell he wants his students to succeed. 
;null	 teacher	 positive	Hard to find online teachers that can keep up with short term courses, and she excels.
;grade	 grading	 positive	Easy to get a good grade in his class.
;students	 approachable	 positive	He really cares about his students and is willing to help bascially everything.
;reading;paper	 course course	 positive positive	Before taking Mr. Everett's class, I couldn't stand reading and I couldn't write a decent paper.
;drafts;grade	 exam exam	 positive positive	He asks you send in rough drafts and then edits them for you to improve your grade!
;owls	 exam	 positive	Just put examples from owls on it and you will be fine.
;null	 teacher	 negative	Boring, not clear and not good at preparing students for his exams which are MC
;null	 approachable	 positive	Great guy, very friendly, approachable, and willing to help you out with whatever problems you are facing.
;lectures;null	 teaching approachable	 positive positive	His lectures are decent, his labs are awesome, and he's always willing to help students when they're stuck.
;tests	 exam	 positive	His tests are more clear than Math 127 tests, kind of a funny teacher, but makes me sleepy.
;lectures	 teaching	 negative	He is not clear in his lectures.
;null	 teacher	 positive	Being his brother, it's hard to find any of his good qualities, but this man is brilliant (relative to most, not me), if you fail his class, perhaps the problem lies in your own stupidity.
;null	 teacher	 positive	Caring, funny, sweet, she's the best.
;null	 teacher	 positive	Schurter is the man!
;class	 teacher	 positive	Attendance isn't mandatory but I loved going to class.
;class and professor	 teacher	 positive	Overall a great class and awesome professor!
;explain	 teaching	 negative	"Cook would be better off as a 1950's stand up comedian than a math prof. he doesnt explain ANYTHING and his ""examples"" in class are nothing like the ones on the exams."
;talking	 answering	 positive	Shes my best friend :) Spent most time in her office just talking haha.
;exams and quizzes	 exam	 negative	I will admit he definitely does care for his students but the way his exams and quizzes were designed made it a difficult intro course.
;professor	 teacher	 positive	Fantastic professor and truly cares about his students.
;explains;null	 teaching approachable	 positive negative	good teacher and explains things thoroughly, but he is hard to track down for office hours.
;null	 teacher	 positive	Professor Christopher is amazing!
;null	 teacher	 negative	He goes off in tangents.
;null	 teacher	 positive	MUST TAKE!!!!!!
;null	 teacher	 positive	Mehran is the best.
;teacher	 teacher	 positive	Good teacher.
;exams	 exam	 negative	His exams are difficult with trick questions, so it is easy to get a few wrong.
;11 journal entries, 1 group presentation, & midterm/final	 exam	 neutral	11 journal entries, 1 group presentation, & midterm/final
;workload;exam	 course exam	 negative negative	The workload in this class was moderately heavy, and the exam is tough.
;null	 knowledge	 positive	She is very personable and she knows her Crim!
;class	 class	 neutral	BioTAP 190H was a love-hate class.
;help;guidelines;assignments	 approachable approachable approachable	 positive positive positive	He is very willing to help and gives very clear guidelines and goes over step by step how to do the assignments.
;lectures	 teaching	 positive	She cares about her students success, and tries to connect the lectures to her life experiences which makes things fun to learn and easier to grasp.
;class	 teacher	 negative	took calc in high school, and never went/ go to class and got an A in 127 and will get one in 128... boring class, puts me to sleep, and doesnt explain things well, so i dont go.
;learning	 teacher	 positive	Now if you want to actually learn and have fun learning, she is definitely the one to take!!!!
;papers	 grading	 negative	oh my goodness he is passionate but he grades our papers as if are papers are going to be published.
;teach	 teaching	 negative	I love math, and i normally understand the concepts in math very well, but he just doesn't know how to teach.
;instructor	 teacher	 positive	Prof Christopher is the funniest and most personable instructor I have ever had.
;lectures	 teaching	 positive	Her lectures aren't boring, easy to understand.
;american literature	 course	 positive	American Literature II is an awesome class!
;weekly quizzes and exams	 exam	 positive	This is reflected in weekly quizzes and the exams, but go to lecture because he doesn't teach out of the textbook and gives iClicker questions to help.
;class	 teaching	 positive	I love this class.
;class	 course	 positive	Easy class, but prepare to read a lot at
;class	 teacher	 negative	Class is so boring i've might lost attention numerous times every class.
;sources;papers	 exam exam	 negative negative	He was somewhat careless about checking sources in my papers, but he did give me points back once I pointed that out.
;courses	 teacher	 positive	I plan on taking her courses again.
;grades	 grading	 positive	She grades fairly.
;learn	 teacher	 negative	i really didnt learn much to tell u the truth.
;tf	 exam	 neutral	Tons of TF.
;hw assignments	 exam	 positive	She uses different types of hw assignments too which is nice.
