aspect term	category	polarity	text
;class	 teacher	 neutral	You should still go to class though, he goes over problems.
;teacher;null	 knowledge teacher	 positive positive	Good if you like a teacher who knows her stuff; you'll learn a lot in this class if you pay attention.
;lecture	 presentation	 negative	Impossible to hear him during lecture unless you're sitting two inches away from him.
;hw and exams	 exam	 negative	Material on hw and exams are completely different from what he teaches.
;null;attendance;papers	 course regularity exam	 negative negative negative	She's pretty hard, expects attendance, and her papers are tough if you don't know/care about philosophy.
;null	 teacher	 positive	Best Prof of all time
;professor	 teacher	 positive	She is the best professor I have ever had.
;classes	 teacher	 positive	her classes were so interesting and insightful i changed my major from psychology to criminology.
;discussions	 communication	 positive	And the discussions were soo much fun and sometimes heated.
;teacher	 teacher	 positive	Respectable teacher.
;exams	 exam	 positive	Exams are only difficult if you do not study or go to class.
;class	 teacher	 positive	Challenging but rewarding class. 
;null	 grading	 neutral	if not, you'll be grateful with a c.
;null	 teacher	 positive	he is absolutely hilarious and makes you never want to miss a minute of his class.
;null	 grading	 positive	I got a C in the course but this class has made me love biology
;late	 regularity	 negative	Hates cell phones, yet comes to class 10 minutes late EVERY time.
;professor	 teacher	 positive	Capelotti is not only an excellent professor, but a really awesome person as well.
;class;note set book	 presentation presentation	 positive positive	However, going to class has it's benefits because he will go over something that isn't explained too well or doesn't have an answer in the note set book of his.
;null	 teacher	 negative	Unorganized.
;professor	 teacher	 positive	I am honestly looking forward to more classes with this professor.
;class;teacher	 course teacher	 positive positive	Interesting class, good teacher.
;lectures	 presentation	 negative	He always keeps the class on their toes with his lectures.
;learned	 teacher	 positive	I learned more in her lectures than I did an entire semester w other professors.
;average	 grading	 negative	The syllabus even says the  for his class is a C/D, I wouldn't advise taking his class.
;curve	 grading	 negative	refuses to give a curve when he fails to project his voice.
;null	 teacher	 negative	Bit opinionated/offensive but not demeaning or in anyway.
;professor	 teacher	 positive	Professor Sacher is SUCH a little sweetheart!
;professor	 teacher	 positive	THE COOLEST PROFESSOR EVER!!
;null	 teacher	 positive	Respect him and he will more than respect youback.
;unhelpful	 counseling	 negative	Very unhelpful.
;null	 teacher	 neutral	Cooks an awesome guy, but now he's so old he does not care at all.
;quiz	 exam	 negative	There is a quiz every Friday: can vary from open notemouth to strictly test testing.
;3 tests & 1 assignment	 exam	 neutral	3 tests & 1 assignment.
;material	 presentation	 positive	McPike has a great grasp on the material, is very helpful, and very kind.
;test	 exam	 negative	The material on the tests is so random compared to what he teaches in class.
;null	 teacher	 negative	Rude and low-key bashes on the possibility of a god.
;null	 teacher	 neutral	She is very opinionated and isn't afraid to say whats on her mind.
;biology;history	 presentation presentation	 negative negative	Thought his class would be more biology based but it felt more like a history class.
;null	 teacher	 positive	But he's a nice guy though.
;reading assignments	 exam	 negative	You can do the reading assignments all you want, but that doesn't mean you'll pass.
;examples	 presentation	 negative	He just puts random examples on the board, solves them himself and doesn't explain how or when to use the equation.
;concepts;problem concepts;exams	 presentation exam exam	 neutral neutral neutral	The story is that he'll teach you concepts in class and sometimes use book problem concepts in exams, too.
;null	 teacher	 negative	AVOID HIM
;null	 communication	 negative	He gets fustrated when you analyze a piece of work differently from how he analyzes it.
;class	 teacher	 positive	Her class is sofun
;teacher	 teacher	 positive	Great teacher!
;class	 teacher	 positive	If she teaches any other course in the future, I won't doubt to take her class...
;null	 teacher	 positive	She will tell u exactly what is on it if you ask her.she lets u out early!
;teaching	 presentation	 positive	His teaching is simply awesome.
;fair;exams	 grading exam	 positive neutral	He is really fare in person, but he is certainly out to get you on the exams.
;si sessions	 teacher	 positive	If you get Felipe as TA, it is HIGHLY recommended that you go to his SI sessions, especially 2 or 1 days before an exam.
;teacher	 teacher	 positive	Great teacher but do not take this class if you do not like to read or write.
;tests	 exam	 neutral	His tests aren't too bad if you study, but he does require a short essay to be written WHILE IN CLASS.
;pop quizzzes	 exam	 negative	Do the reading because this guy pop quizzes like a wizard.
;reading	 presentation	 negative	She gives way too much reading which by the way is hard to understand.
;null	 teacher	 positive	He's very specific and you can tell he cares deeply for literature.
;null	 teacher	 positive	laid back and really relates to the students.
;teaching	 presentation	 positive	He is enthusiastic about his teaching and wants you to understand.
;lecturer;material	 teacher presentation	 positive negative	He's a good lecturer, and makes class somewhat interesting, but the material overall is overly detailed and mundane.
;slide shows;tests	 exam exam	 negative negative	You have to write at the speed of light to copy down everything from the slide shows, because it will be on the tests.
;lessons	 presentation	 positive	He explains grammar in a way that makes more sense than any of my high school  teachers' lessons did.
;tests	 exam	 positive	His tests can be difficult, but he has excellent taste in music
;class	 course	 negative	dont take this class if you cant teach yourself some pretty difficult math
;professor	 teacher	 positive	Professor Schurter is by far the best professor I've had at UMass.
;null	 counseling	 positive	She is very helpful and really cares about what she is doing!
;professor	 teacher	 positive	But overall, good professor.
;null	 teacher	 positive	Schurter = BOSS.
;null	 teacher	 positive	He is a cool guy.
;teaching yourself	 teacher	 neutral	Only take this class if you're comfortable with teaching yourself the material.
;professor	 teacher	 positive	Molumby was a fantastic professor who found ways to keep his students interested.
;null	 teacher	 neutral	Just pay a lot of attention in series!
;null	 course	 negative	Much too difficult...
;null	 communication	 positive	She struggles to answer questions clearly or even fully.
;reading	 teacher	 neutral	Reading will help.
;help	 counseling	 negative	Uses WileyPlus which is $50 and you need to buy it because thats where the homework is, and wiley sucks doesn't help you learn at all.
;teacher	 teacher	 positive	Is a pretty good teacher.
;null	 relevance	 positive	I will remember what he taught me for a very long time
;null	 knowledge	 negative	THis guy thinks he knows everything... funny to hear him talk...look around the class 50% of ppl are sleeping now thats chemistry
;ta	 grading	 neutral	The TA grades 40-45% of your work.
;null	 teacher	 positive	Mehran is awesome!
;classes	 presentation	 negative	He spends entire classes deriving formulas that are in the text already, and spouting off about Leibniz and Newton.
;tangents;material	 presentation presentation	 negative negative	He tends to go off on tangents and not fully cover the material.
;essays	 exam	 positive	He has high expectations for the essays but gives you all the tools you need to do well.
;teacher;tests	 teacher exam	 neutral neutral	I hear he used to be a fairly easy teacher then read his ratings and decided to toughen up... all of us got the 'new' Molumby... :( Also, Murray's tests are much easier!
;exam	 exam	 negative	I have friends in 3 other bio classes who are all doing just fine and their exams are much more reasonable.
;writing	 course	 negative	And there was a lot more writing.
;notes;tests	 exam exam	 positive positive	There are a lot of notes but the tests aren't hard if you study.
;movies	 presentation	 positive	BTW, stay for the movies; they're good thou they're old
;professor	 teacher	 positive	She is an awsome professor who actually makes learning fun and easy.
;lectures	 course	 positive	I enjoyed his lectures and his metal references(and cob shirts).
;teachers	 teacher	 positive	One of the best teachers I've had at UWG.
;calc;null	 course teacher	 positive negative	i took calc in hs, and like math, i found the class to be easy, but only cus i had an understanding in calc, i do not recomend cook and from what i heard about the other math teachers i dont recomend them either, cook is boring, old and doesnt teach, wish i could say something good, but nothing comes to mind
;concepts	 relevance	 negative	He tends to try to branch out to other concepts that aren't relevant.
;null	 knowledge	 positive	Knows his stuff and makes you too.
;help;questions;teaching	 counseling communication presentation	 negative negative negative	He is useless when it coems to extra help or getting questions answered and he is horrendous at teaching.
;class;extra credit	 course grading	 positive positive	This was the easiest class i ever took...yeah she is boring as hell but she gives you extra credit for no reason.
;null	 counseling	 positive	His tips are invaluable, and he helped me land the position I want with some great interview tips.
;feedback	 counseling	 positive	Definitely take 310 with him ASAP, because his feedback on resumes, cover letters, etc is invaluable.
;lecture	 teacher	 negative	I got more help at the tutoring places than going to lecture all semester.
;quizzes	 exam	 positive	Quizzes every class...so easy though!
;null	 teacher	 positive	By far one of the coolest and best professors I've had.
;exam	 exam	 neutral	Brit Lit I student- I failed his first exam, and aced his second exam.
;null	 teacher	 positive	HIGHLY RECOMMENDED. 
;null	 teacher	 positive	She is very nice and very laidback!
;null	 teacher	 positive	Other than that she's cool and funny!
;free book	 relevance	 positive	"Alexander used a free ""book"" which you could pretty much study and not have to go to class."
;concepts;lecture;lab;book;probs	 course course course course course	 negative negative negative negative negative	Know the phrase work smarter not harder? Where things pay off is being able to digest, comprehend, and recall the concepts learned in lecture, lab, book, and probs.
;tests;homeworks;attendance	 exam exam regularity	 positive positive positive	Tests were not very hard, very few homeworks, and attendance was not required.
;null	 counseling	 negative	Completely unhelpful.
;quizzes	 exam	 positive	He gives quizzes every friday but they are pretty clear cut.
;null;mic	 grading presentation	 negative negative	It is easy to get a B in his class and hard to get an A. Lastly, he really needs to learn how to use a mic.
;fair	 teacher	 positive	Mr. EVERETT is very fair.
;prof	 teacher	 positive	Great Prof.
;null	 teacher	 positive	I ABSOUTELY LOVE HER !
;null	 teacher	 negative	NEVER take this class with him.
;null	 counseling	 positive	Very helpful if you need help or ur having a problem.
;class	 regularity	 neutral	In order to do well in this class you must go to class and pay attention.
;notes	 grading	 negative	You have to turn in your NOTES to get graded.
;grading	 grading	 negative	Grading is very unfair and she shouldnt teach undergraduate courses because she doesnt know how to deal with young people.
;teacher	 teacher	 negative	Professor Cook is a terrible teacher, and an even worse comedian.
;lectures;exams	 presentation exam	 positive positive	He's really knowledgeable about what he's teaching and makes you love going to lectures as long as you sit in the front... Lectures are amazing BUT wish he makes exams less complicated- it would've been a perfect class. 
;textbook;notes	 presentation presentation	 positive positive	Read the textbook and take notes and you'll be fine.
;old exams	 exam	 neutral	so you need to study a lot..it helps if you have old exams to study
;lectures	 presentation	 positive	Lectures are interesting.
;lab reports;presentations;problem sets;exams	 exam exam exam exam	 neutral neutral neutral neutral	Do well on lab reports, presentations, problem sets, and EXAMs!
;grade	 grading	 positive	You EARN your grade- English is my major, so if you did not succeed in 1301/02 don't bother.
;null	 counseling	 positive	One of few professors who remembers personal details about you and will go out of his way to help you out.
;teaching	 presentation	 negative	Horrible teaching!
;classes;course	 course course	 positive positive	His classes are usualy not easy, but that's the nature of the course and not his fault.
;neutrality	 teacher	 negative	I question her neutrality
;null	 counseling	 positive	Always there if you need help.
;grading	 grading	 neutral	Grading was not that hard...however, she does grade papers like an English teacher.
;review sessions	 counseling	 positive	He holds review sessions every week which really helps clearing up small details that he just mentions in class.
;null	 presentation	 negative	rambles and goes off topic.
;cs 106a	 teacher	 positive	I'm on video 7 of his CS 106A class (I don't attend Stanford); he's THE BEST EVER!
;exams	 exam	 neutral	In order to excel in his course, you MUST study rigorously for his .
;teaching	 presentation	 positive	He has a passion for teaching and English, which makes his classes fun.
;lecture	 presentation	 negative	Each lecture is usually him standing in front of a projector, talking non-stop until you are a zombie.
;anth major;class	 course course	 positive positive	As an Anth major I found this class fairly easy.
;null;teacher	 grading teacher	 negative positive	I recieved a C in Dr. Molumby's class, but he was a pretty decent teacher.
;exam	 exam	 negative	I walked into the final exam touting an A average, and failed the exam, which landed me with a final grade of a C. This class was absolutely horrible, and you have no choice but this man.
;eat/chat	 counseling	 positive	Impossible to do poorly since you can meet him at Newman Cafe almost any morning and eat/chat with him.
;class	 course	 positive	It was a great class, I'd recommend her to anyone.
;professor	 teacher	 negative	One of the worst professors I've ever had.
;review sessions	 counseling	 positive	He holds review sessions before quizzes and exams and will answer any questions.
;students	 communication	 negative	He just talks to the students in the front.
;professor	 teacher	 positive	She kind of reminds me of Kitty from That 70's Show, but she is still an amazing professor.
;course	 course	 positive	The course really is not that hard.
;exams	 exam	 negative	His exams are impossible as well.
;null	 teacher	 positive	Dr Molumby, if you are reading this, I love you!!
;material	 presentation	 positive	A huge chunk of material which may be confusing is cleared up after attending a lectures.
;project-based class and had three intensive team projects	 course	 neutral	This was an entirely project-based class and had three intensive team projects.
;teaching	 presentation	 positive	I liked him a lot, he really seems to like his students and enjoy teaching.
;lecture	 presentation	 positive	Something that spices up the lecture and makes you stay awake for once!
;class participation	 communication	 positive	She grades too much on class participation.
;exams	 exam	 negative	exams are hard.
