Word	" ""Score"""
'hood	0
's_Gravenhage	0
'tween	0
'tween_decks	0
0.22	0
.22-caliber	0
.22-calibre	0
.22_caliber	0
.22_calibre	0
.38-caliber	0
.38-calibre	0
.38_caliber	0
.38_calibre	0
.45-caliber	0
.45-calibre	0
.45_caliber	0
.45_calibre	0
0	0
0	0
1	0
1	-0.31712
1-dodecanol	0
1-hitter	0
10	0
10	0
10-membered	0
100	0
100	0
1000	0
1000	0
10000	-0.31712
100000	0
1000000	0
1000000000	0
1E+12	0
1000th	0
100th	0
101	0
101st	0
105	0
105th	0
10th	0
11	0
11	0
11-plus	0
110	0
110th	0
115	0
115th	0
11_November	0
11th	0
12	0
12	0
12-tone_music	0
12-tone_system	0
120	0
120	0
120th	0
125	0
125th	0
12th	0
13	0
13	0
130	0
130th	0
135	0
135th	0
13th	0
14	0
14	0
140	0
140th	0
144	0
145	0
145th	0
14_July	0
14th	0
15	0
15	0
150	0
150th	0
1530s	0
155	0
155th	0
15_August_1945	0
15_May_Organization	0
15_minutes	0
15th	0
16	0
16	0
160	0
160th	0
165	0
165th	0
16_PF	0
16th	0
17	0
17	0
170	0
170th	0
1728	0
175	0
1750s	0
175th	0
1760s	0
1770s	0
1780s	0
1790s	0
17_November	0
17th	0
18	0
18	0
18-karat_gold	0
180	0
180th	0
1820s	0
1830s	0
1840s	0
1850s	0
1860s	0
1870s	0
1880s	0
1890s	0
18th	0
19	0
19	0
190	0
1900s	0
190th	0
1920s	0
1930s	0
1940s	0
1950s	0
1960s	0
1970s	0
1980s	0
1990s	0
19th	0
1_Chronicles	0
1_Esdras	0
1_Kings	0
1_Maccabees	0
1_Samuel	0
1st	0
1st-class_mail	0
1st_Baron_Beaverbrook	0
1st_Baron_Verulam	0
1st_Earl_Attlee	0
1st_Earl_Baldwin_of_Bewdley	0
1st_Earl_of_Balfour	0
1st_Viscount_Montgomery_of_Alamein	0
1st_class	0
1st_lieutenant	0
2	0
2	0
2-dimensional	0
2-hitter	0
2-hydroxybenzoic_acid	0
2-methylpropenoic_acid	0
20	0
20	0
20/20	0
200	0
200th	0
20th	0
21	0
21	0
21st	0
22	0
22	0
22-karat_gold	0
22nd	0
23	0
23	0
23rd	0
24	0
24	0
24-hour_interval	0
24-karat_gold	0
24-Jul	0
24th	0
25	0
25	0
25th	0
26	0
26	0
26th	0
27	0
27	0
27th	0
28	0
28	0
28th	0
29	0
29	0
29th	0
2_Chronicles	0
2_Esdras	0
2_Kings	0
2_Maccabees	0
2_Samuel	0
2d	0
2nd	0
2nd_lieutenant	0
3	0
3	0
3-D	0
3-dimensional	0
3-hitter	0
3-membered	0
30	0
30	0
300	0
300th	0
30_minutes	0
30th	0
31	0
31st	0
32	0
32nd	0
33	0
33rd	0
34	0
34th	0
35	0
35th	0
36	0
365_days	0
366_days	0
36th	0
37	0
37th	0
38	0
38th	0
39	0
39th	0
3D	0
3TC	0
3d_radar	0
3rd	0
3rd_October_Organization	0
4	0
4	0
4-dimensional	0
4-hitter	0
4-membered	0
40	0
40	0
400	0
400th	0
401-k	0
401-k_plan	0
40th	0
41	0
41st	0
42	0
42nd	0
43	0
43rd	0
44	0
440_yards	0
44th	0
45	0
45th	0
46	0
46th	0
47	0
47th	0
48	0
48th	0
49	0
49th	0
4WD	0
4th	0
4to	0
5	0
5	0
5-hitter	0
5-hydroxy-3-methylglutaryl-coenzyme_A_reductase	0
5-hydroxytryptamine	0
5-membered	0
50	0
50	0
500	0
500	0
500th	0
50th	0
51	0
52	0
53	0
54	0
55	0
55th	0
56	0
57	0
58	0
59	0
5th	0
6	0
6	0
6-membered	0
60	0
60	0
60_minutes	0
60th	0
61	0
62	0
63	0
64	0
64th	0
65	0
65th	0
66	0
67	0
68	0
69	0
6_June_1944	0
6th	0
7	0
7	0
7-membered	0
70	0
70	0
70th	0
71	0
72	0
73	0
74	0
75	0
75th	0
76	0
77	0
78	0
78	0
79	0
7th	0
8	0
8	0
8-membered	0
80	0
80	0
80th	0
81	0
82	0
83	0
84	0
85	0
85th	0
86	0
87	0
88	0
880_yards	0
89	0
8_May_1945	0
8th	0
8vo	0
9	0
9	0
11-Sep	0
9-membered	0
11-Sep	0
90	0
90	0
90th	0
91	0
92	0
93	0
94	0
95	0
95th	0
96	0
97	0
98	0
99	0
9th	0
A	0
A'man	0
A-bomb	0
A-horizon	0
A-line	0
A-list	0
A-one	0
A-scan_ultrasonography	0
A-team	0
A.D.	0
A.E.	0
A.M.	0
A._A._Michelson	0
A._A._Milne	0
A._Conan_Doyle	0
A._E._Burnside	0
A._E._Housman	0
A._E._Kennelly	0
A._E._W._Mason	0
A._Noam_Chomsky	0
A._testudineus	0
AA	0
AAA	0
AARP	0
AAS	0
AAVE	0
AB	0
ABA_transit_number	0
ABB	0
ABC	0
ABC's	0
ABCs	0
ABLS	0
ABM	0
ABO_antibodies	0
ABO_blood_group_system	0
ABO_group	0
ABO_system	0
ABS	0
AC	0
ACC	0
ACE	-0.95136
ACE_inhibitor	0
ACLANT	0
ACTH	0
AD	0
ADA	0
ADA-SCID	0
ADD	0
ADH	0
ADHD	0
ADP	0
ADPS	0
ADP_system	0
AEC	0
AFISR	0
AFL	0
AFL-CIO	0
AFP	0
AFRL	0
AFSPC	0
AHPCRC	0
AI	0
AIAI	0
AIDS	-1.5856
AK	0
AL	0
ALGOL	0
ALIR	0
ALS	0
ALT	0
AM	0
AMD	0
AMEX	0
AMP	0
AMusD	0
AN	0
AND_circuit	0
AND_gate	0
ANG	0
ANO	0
ANOVA	0
ANS	0
APC	0
AR	0
ARDA	0
ARDS	0
ARNG	0
AS	0
ASALA	0
ASAP	0
ASAT	0
ASCII	0
ASCII_character	0
ASCII_character_set	0
ASCII_control_character	0
ASCII_text_file	0
ASEAN	0
ASL	0
ATF	0
ATM	0
ATP	0
AU	-0.31712
AUC	0
AWOL	0
AZ	0
AZT	0
A_battery	0
A_horizon	0
A_level	0
Aachen	0
Aaland_islands	0
Aalborg	0
Aalst	0
Aalto	0
Aar	0
Aare	0
Aare_River	0
Aarhus	0
Aaron	0
Aaron's_rod	0
Aaron_Burr	0
Aaron_Copland	0
Aaron_Montgomery_Ward	0
Ab	0
Abadan	0
Abbe_condenser	0
Abbott_Lawrence_Lowell	0
Abdias	0
Abecedarian	0
Abel	0
Abel_Janszoon_Tasman	0
Abel_Tasman	0
Abelard	0
Abelian_group	0
Abelmoschus	0
Abelmoschus_esculentus	0
Abelmoschus_moschatus	0
Abenaki	0
Aberdare	0
Aberdeen	0
Aberdeen_Angus	0
Aberdonian	0
Abidjan	0
Abies	0
Abies_alba	0
Abies_amabilis	0
Abies_balsamea	0
Abies_bracteata	0
Abies_concolor	0
Abies_fraseri	0
Abies_grandis	0
Abies_lasiocarpa	0
Abies_lowiana	0
Abies_venusta	0
Abila	0
Abilene	0
Abkhas	0
Abkhasian	0
Abkhaz	0
Abkhaz	0
Abkhazia	0
Abkhazian	0
Abkhazian	0
Abnaki	0
Abnaki	0
Abney_level	0
Abo	0
Abor	0
Aboriginal	0
Aboriginal	0
Aboriginal_Australian	0
Aborigine	0
Abraham	0
Abraham's_bosom	0
Abraham_Lincoln	0
Abraham_Stoker	0
Abramis	0
Abramis_brama	0
Abrocoma	0
Abronia	0
Abronia_elliptica	0
Abronia_fragrans	0
Abronia_latifolia	0
Abronia_maritima	0
Abronia_umbellata	0
Abronia_villosa	0
Abruzzi	0
Abruzzi_e_Molise	0
Abstract_Expressionism	0
Abu_Ali_al-Husain_ibn_Abdallah_ibn_Sina	0
Abu_Dhabi	0
Abu_Hafs_al-Masri_Brigades	0
Abu_Nidal_Organization	0
Abu_Sayyaf	0
Abudefduf	0
Abudefduf_saxatilis	0
Abuja	0
Abukir	0
Abukir_Bay	0
Abul-Walid_Mohammed_ibn-Ahmad_Ibn-Mohammed_ibn-Roshd	0
Abutilon	0
Abutilon_theophrasti	0
Aby_Moritz_Warburg	0
Aby_Warburg	0
Abydos	0
Abyla	0
Abyssinia	0
Abyssinian	0
Abyssinian_banana	0
Abyssinian_cat	0
Ac	0
Acacia_auriculiformis	0
Acacia_cambegei	0
Acacia_catechu	0
Acacia_dealbata	0
Acacia_farnesiana	0
Acacia_melanoxylon	0
Acacia_pycnantha	0
Acacia_xanthophloea	0
Academy_Award	0
Academy_of_Motion_Picture_Arts_and_Sciences	0
Academy_of_Television_Arts_and_Sciences	0
Acadia	0
Acadia_National_Park	0
Acadian	0
Acalypha	0
Acalypha_virginica	0
Acanthaceae	0
Acanthisitta	0
Acanthisitta_chloris	0
Acanthisittidae	0
Acanthocephala	0
Acanthocereus	0
Acanthocereus_pentagonus	0
Acanthocereus_tetragonus	0
Acanthocybium	0
Acanthocybium_solandri	0
Acanthophis	0
Acanthophis_antarcticus	0
Acanthopterygii	0
Acanthoscelides	0
Acanthoscelides_obtectus	0
Acanthuridae	0
Acanthurus	0
Acanthurus_chirurgus	0
Acanthus_mollis	0
Acapulco	0
Acapulco_de_Juarez	0
Acapulco_gold	0
Acaridae	0
Acarina	0
Accho	0
Accipiter	0
Accipiter_cooperii	0
Accipiter_gentilis	0
Accipiter_nisus	0
Accipitridae	0
Accipitriformes	0
Accra	0
Acer	0
Acer_argutum	0
Acer_campestre	0
Acer_circinatum	0
Acer_glabrum	0
Acer_japonicum	0
Acer_macrophyllum	0
Acer_negundo	0
Acer_negundo_Californicum	0
Acer_palmatum	0
Acer_pennsylvanicum	0
Acer_platanoides	0
Acer_pseudoplatanus	0
Acer_rubrum	0
Acer_saccharinum	0
Acer_saccharum	0
Acer_spicatum	0
Aceraceae	0
Achaea	0
Achaean	0
Achaean	0
Achaian	0
Acheron	0
Acheronian	0
Acherontia	0
Acherontia_atropos	0
Acherontic	0
Acheson	0
Acheson_process	0
Acheta	0
Acheta_assimilis	0
Acheta_domestica	0
Achille_Ratti	0
Achillea_millefolium	0
Achillea_ptarmica	0
Achilles	0
Achilles'_heel	0
Achilles_tendon	0
Achmad_Sukarno	0
Achoerodus	0
Achoerodus_gouldii	0
Achomawi	0
Achras	0
Achras_zapota	0
Achromycin	0
Acinonyx	0
Acinonyx_jubatus	0
Acinos	0
Acinos_arvensis	0
Acipenser	0
Acipenser_huso	0
Acipenser_transmontanus	0
Acipenseridae	0
Acnidosporidia	0
Acocanthera	0
Acocanthera_oblongifolia	0
Acocanthera_oppositifolia	0
Acocanthera_spectabilis	0
Acocanthera_venenata	0
Acokanthera	0
Aconcagua	0
Aconitum	0
Aconitum_lycoctonum	0
Aconitum_napellus	0
Acoraceae	0
Acores	0
Acorus	0
Acorus_calamus	0
Acragas	0
Acrasiomycetes	0
Acre	0
Acrididae	0
Acridotheres	0
Acridotheres_tristis	0
Acrilan	0
Acris	0
Acris_crepitans	0
Acris_gryllus	0
Acrobates	0
Acrocarpus	0
Acrocarpus_fraxinifolius	0
Acrocephalus	0
Acrocephalus_schoenobaenus	0
Acroclinium	0
Acroclinium_roseum	0
Acrocomia	0
Acrocomia_aculeata	0
Acrocomia_vinifera	0
Acropora	0
Acrostichum	0
Acrostichum_aureum	0
Actaea	0
Actaea_alba	0
Actaea_rubra	0
Actias	0
Actias_luna	0
Actifed	0
Actinaria	0
Actinia	0
Actiniaria	0
Actinidia	0
Actinidia_arguta	0
Actinidia_chinensis	0
Actinidia_deliciosa	0
Actinidia_polygama	0
Actinidiaceae	0
Actiniopteris	0
Actinomeris	0
Actinomeris_alternifolia	0
Actinomycetaceae	0
Actinomycetales	0
Actinomyxidia	0
Actinopoda	0
Actinozoa	0
Actitis	0
Actitis_hypoleucos	0
Actitis_macularia	0
Actium	0
Activase	0
Acts	0
Acts_of_the_Apostles	0
Acular	0
Adad	0
Adalia	0
Adalia_bipunctata	0
Adam	-0.31712
Adam's_Peak	0
Adam's_apple	0
Adam's_needle	0
Adam's_needle-and-thread	0
Adam_Smith	0
Adams	-0.06208
Adams-Stokes_syndrome	0
Adana	0
Adansonia	0
Adansonia_digitata	0
Adansonia_gregorii	0
Adapa	0
Adapid	0
Adapid_group	0
Adapin	0
Adar	0
Adar_Sheni	0
Addax_nasomaculatus	0
Addis_Ababa	0
Addison's_disease	0
Addison's_syndrome	0
Additions_to_Esther	0
Addressograph	0
Adelaide	0
Adelges	0
Adelges_abietis	0
Adelges_piceae	0
Adelgidae	0
Adelie	0
Adelie_Coast	0
Adelie_Land	0
Adelie_penguin	0
Adeline_Virginia_Stephen_Woolf	0
Aden	0
Aden-Abyan_Islamic_Army	0
Adenanthera	0
Adenanthera_pavonina	0
Adenauer	0
Adenium	0
Adenium_multiflorum	0
Adenium_obesum	0
Adenota	0
Adenota_vardoni	0
Adi_Granth	0
Adiantaceae	0
Adiantum	0
Adiantum_bellum	0
Adiantum_capillus-veneris	0
Adiantum_pedatum	0
Adiantum_tenerum	0
Adiantum_tenerum_farleyense	0
Adige	0
Adirondack_Mountains	0
Adirondacks	0
Aditi	0
Aditya	0
Adlai_Ewing_Stevenson	0
Adlai_Stevenson	0
Adlumia	0
Adlumia_fungosa	0
Admiral_Byrd	0
Admiral_Dewey	0
Admiral_Nelson	0
Admiral_Nimitz	0
Admiralty_Island	0
Admiralty_Islands	0
Admiralty_Metal	0
Admiralty_Range	0
Admiralty_brass	0
Admiralty_mile	0
Admission_Day	0
Adolf_Eichmann	0
Adolf_Hitler	0
Adolf_Loos	0
Adolf_Windaus	0
Adolph_Simon_Ochs	0
Adolphe_Sax	0
Adonic	0
Adonic	0
Adonic_line	0
Adonis	0
Adonis_annua	0
Adrenalin	0
Adrian	0
Adrianople	0
Adrianopolis	0
Adriatic	0
Adriatic_Sea	0
Advanced_Research_and_Development_Activity	0
Advent	-0.31712
Advent_Sunday	0
Adventism	0
Adventist	0
Advil	0
Adzhar	0
Adzharia	0
Aedes	0
Aedes_aegypti	0
Aedes_albopictus	0
Aegadean_Islands	0
Aegadean_Isles	0
Aegates	0
Aegates_Isles	0
Aegean	0
Aegean	0
Aegean_Sea	0
Aegean_civilisation	0
Aegean_civilization	0
Aegean_culture	0
Aegean_island	0
Aegiceras	0
Aegiceras_majus	0
Aegilops	0
Aegilops_triuncalis	0
Aegina	0
Aegisthus	0
Aegospotami	0
Aegospotamos	0
Aegypiidae	0
Aegypius	0
Aegypius_monachus	0
Aegyptopithecus	0
Aelius_Donatus	0
Aeneas	0
Aeneas_Silvius	0
Aeneid	0
Aengus	0
Aeolia	0
Aeolian	0
Aeolian	0
Aeolic	0
Aeolic_dialect	0
Aeolis	0
Aeolus	0
Aeonium	0
Aeonium_haworthii	0
Aepyceros	0
Aepyceros_melampus	0
Aepyornidae	0
Aepyorniformes	0
Aerobacter	0
Aerobacter_aerogenes	0
Aertex	0
Aeschylean	0
Aeschylus	0
Aeschynanthus_radicans	0
Aesculapius	0
Aesculus	0
Aesculus_hippocastanum	0
Aesir	0
Aesop	0
Aesop's_fables	0
Aether	0
Aethionema	0
Aethusa	0
Aethusa_cynapium	0
Aetobatus	0
Aetobatus_narinari	0
Afars_and_Issas	0
Affirmed	0
Afghan	0
Afghan	0
Afghan_hound	0
Afghan_monetary_unit	0
Afghani	0
Afghani	0
Afghanistan	0
Afghanistani	0
Afghanistani	0
Aflaxen	0
Aframomum	0
Aframomum_melegueta	0
Afrasian	0
Afrasian_language	0
Africa	0
African	0
African	0
African-American	0
African-American	0
African-American_music	0
African_American	0
African_American_English	0
African_American_Vernacular_English	0
African_bowstring_hemp	0
African_chameleon	0
African_clawed_frog	0
African_coral_snake	0
African_country	0
African_crocodile	0
African_daisy	0
African_elephant	0
African_gray	0
African_green_monkey	0
African_grey	0
African_hemp	0
African_holly	0
African_hunting_dog	0
African_lily	0
African_love_grass	0
African_mahogany	0
African_marigold	0
African_millet	0
African_monitor	0
African_nation	0
African_oil_palm	0
African_sandalwood	0
African_scented_mahogany	0
African_tea	0
African_tulip	0
African_violet	0
African_walnut	0
African_wild_ass	0
African_yellowwood	0
Africander	0
Africanized_bee	0
Africanized_honey_bee	0
Afrikaans	0
Afrikaans	0
Afrikander	0
Afrikaner	0
Afrikaner	0
Afro	0
Afro-American	0
Afro-American	0
Afro-Asian	0
Afro-Asiatic	0
Afro-wig	0
Afro_hairdo	0
Afroasiatic	0
Afroasiatic_language	0
Afrocarpus	0
Afrocarpus_falcata	0
Afropavo_congensis	0
Ag	0
Aga	0
Agalinis	0
Agamemnon	0
Agamidae	0
Agapanthus_africanus	0
Agapornis	0
Agaricaceae	0
Agaricales	0
Agaricus	0
Agaricus_arvensis	0
Agaricus_campestris	0
Agassiz	0
Agastache	0
Agastache_foeniculum	0
Agastache_mexicana	0
Agastache_nepetoides	0
Agatha_Christie	0
Agathis	0
Agathis_alba	0
Agathis_australis	0
Agathis_dammara	0
Agathis_lanceolata	0
Agathis_robusta	0
Agavaceae	0
Agave_americana	0
Agave_atrovirens	0
Agave_cantala	0
Agave_sisalana	0
Agave_tequilana	0
Agdestis	0
Agdistis	0
Age_of_Fishes	0
Age_of_Mammals	0
Age_of_Man	0
Age_of_Reason	0
Age_of_Reptiles	0
Agee	0
Agelaius	0
Agelaius_phoeniceus	0
Agene	0
Agenise	0
Agenize	0
Agent_Orange	0
Ageratina	0
Ageratina_altissima	0
Ageratum_houstonianum	0
Aggeus	0
Agha	0
Aghan	0
Agincourt	0
Agkistrodon	0
Agkistrodon_contortrix	0
Agkistrodon_piscivorus	0
Aglaia	0
Aglaomorpha	0
Aglaomorpha_meyeniana	0
Aglaonema	0
Aglaonema_modestum	0
Agnatha	0
Agnes_George_de_Mille	0
Agnes_Gonxha_Bojaxhiu	0
Agnes_de_Mille	0
Agni	0
Agnus_Dei	0
Agonidae	0
Agonus	0
Agonus_cataphractus	0
Agra	0
Agricola	0
Agriculture	0
Agriculture_Department	0
Agriculture_Secretary	0
Agrigento	0
Agrimonia_eupatoria	0
Agrimonia_procera	0
Agriocharis	0
Agriocharis_ocellata	0
Agrippa	0
Agrippina	0
Agrippina_the_Elder	0
Agrippina_the_Younger	0
Agrobacterium	0
Agrobacterium_tumefaciens	0
Agropyron	0
Agropyron_cristatum	0
Agropyron_intermedium	0
Agropyron_pauciflorum	0
Agropyron_repens	0
Agropyron_smithii	0
Agropyron_subsecundum	0
Agropyron_trachycaulum	0
Agrostemma	0
Agrostemma_githago	0
Agrostis	0
Agrostis_alba	0
Agrostis_canina	0
Agrostis_nebulosa	0
Agrostis_palustris	0
Ahab	0
Ahmad_Shah_Masoud	0
Ahmed_Salman_Rushdie	0
Ahmed_Zoki_Yamani	0
Ahriman	0
Ahuehuete	0
Ahura	0
Ahura_Mazda	0
Ahvenanmaa	0
Aides	0
Aidoneus	0
Aigina	0
Aiken	0
Ailanthus_altissima	0
Ailey	0
Ailuropoda	0
Ailuropoda_melanoleuca	0
Ailuropodidae	0
Ailurus	0
Ailurus_fulgens	0
Aimee_Semple_McPherson	0
Air_Combat_Command	0
Air_Corps	0
Air_Force	0
Air_Force_ISR	0
Air_Force_Intelligence_Surveillance_and_Reconnaissance	0
Air_Force_Research_Laboratory	0
Air_Force_Space_Command	0
Air_Medal	0
Air_National_Guard	0
Aire	0
Aire_River	0
Airedale	0
Airedale_terrier	0
Aix	0
Aix-la-Chapelle	0
Aix_galericulata	0
Aix_sponsa	0
Aizoaceae	0
Ajaia	0
Ajaia_ajaja	0
Ajax	0
Ajuga	0
Ajuga_chamaepitys	0
Ajuga_genevensis	0
Ajuga_pyramidalis	0
Ajuga_reptans	0
Akaba	0
Akan	0
Aken	0
Akeridae	0
Akha	0
Akhbari	0
Akhenaten	0
Akhenaton	0
Akira_Kurosawa	0
Akka	0
Akkadian	0
Akko	0
Akmola	0
Akron	0
Aksa_Martyrs_Brigades	0
Aku	0
Akwa'ala	0
Al	0
Al-Hasan_ibn_al-Haytham	0
Al-Hudaydah	0
Al-Iraq	0
Al-Jama'a_al-Islamiyyah_al-Muqatilah_bi-Libya	0
Al-Magrib	0
Al-Mukalla	0
